obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""170.03382""","=""""","=""9.65e+00""","=""5.86e-09""","=""8.58e-01""","=""-7.53""",D,"=""0.0276679""","=""7.3194057""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[7/2]""","=""3""",5,7,E2,"=""T5785""","=""""",
"=""170.042""","=""170.0419""","=""50""","=""3.12e+07""","=""1.35e-02""","=""3.78e-01""","=""-1.171""",D+,"=""0.0276679""","=""7.319059""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4d""","=""3D*""","=""2""",5,5,,"=""T5071""","=""L3521""",
"=""170.063""","=""170.06360""","=""30""","=""3.06e+07""","=""3.98e-02""","=""2.23e-01""","=""-1.400""",D+,"=""0.0000000""","=""7.2904604""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.4d""","=""1P*""","=""1""",1,3,,"=""T5071""","=""L3521""",
"=""170.286""","=""170.28693""","=""30""","=""1.88e+07""","=""8.18e-03""","=""1.38e-01""","=""-1.610""",D,"=""0.0095610""","=""7.2904604""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4d""","=""1P*""","=""1""",3,3,,"=""T5071""","=""L3521""",
"=""170.443""","=""170.4442""","=""50""","=""2.61e+07""","=""1.59e-02""","=""4.46e-01""","=""-1.100""",D+,"=""0.0276679""","=""7.301851""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4d""","=""1F*""","=""3""",5,7,,"=""T5071""","=""L3521""",
"=""""","=""170.71147""","=""""","=""1.21e+06""","=""3.17e-04""","=""8.91e-03""","=""-2.800""",E,"=""0.0276679""","=""7.2904604""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4d""","=""1P*""","=""1""",5,3,,"=""T5071""","=""""",
"=""174.388""","=""""","=""30w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""174.740""","=""""","=""50""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""175.311""","=""""","=""30w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""176.366""","=""""","=""50""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""176.503""","=""""","=""40""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""176.560""","=""""","=""30w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""176.606""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""176.9786""","=""""","=""2.65e+07""","=""1.74e-02""","=""5.07e-01""","=""-1.060""",D+,"=""0.7809579""","=""7.786562""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.6d""","=""1F*""","=""3""",5,7,,"=""T5071""","=""""",
"=""177.063""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""177.092""","=""""","=""100w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""177.22254""","=""""","=""2.39e+05""","=""1.87e-04""","=""3.28e-03""","=""-3.251""",E,"=""0.0095610""","=""7.0055221""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4d""","=""1D*""","=""2""",3,5,,"=""T5071""","=""""",
"=""177.683""","=""177.68242""","=""100w""","=""5.83e+06""","=""2.76e-03""","=""8.07e-02""","=""-1.860""",D,"=""0.0276679""","=""7.0055221""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4d""","=""1D*""","=""2""",5,5,,"=""T5071""","=""L3521""",
"=""178.323""","=""""","=""50w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""179.912""","=""""","=""100w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""180.909""","=""180.91046""","=""50w""","=""6.83e+07""","=""4.69e-02""","=""1.40e+00""","=""-0.630""",C,"=""0.7809579""","=""7.6343040""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5d""","=""3D*""","=""3""",5,7,,"=""T5071""","=""L3521""",
"=""""","=""181.3269""","=""""","=""1.04e+06""","=""5.14e-04""","=""1.53e-02""","=""-2.590""",E,"=""0.7809579""","=""7.618564""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5d""","=""3D*""","=""2""",5,5,,"=""T5071""","=""""",
