obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""221.736""","=""221.73593""","=""120""","=""4.54e+07""","=""4.69e-02""","=""1.71e+00""","=""-0.630""",B,"=""0.0276679""","=""5.6191930""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""3""",5,7,,"=""T5814""","=""L3521""",
"=""221.875""","=""221.87476""","=""120""","=""1.09e+07""","=""8.05e-03""","=""2.94e-01""","=""-1.395""",B,"=""0.0276679""","=""5.6156943""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""2""",5,5,,"=""T5814""","=""L3521""",
"=""221.960""","=""221.96065""","=""50""","=""1.05e+06""","=""4.63e-04""","=""1.69e-02""","=""-2.635""",C+,"=""0.0276679""","=""5.6135319""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""1""",5,3,,"=""T5814""","=""L3521""",
"=""""","=""227.89839""","=""""","=""3.56e+06""","=""8.32e-03""","=""6.24e-02""","=""-2.080""",D,"=""1.9086586""","=""7.3489867""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.(2P*<1/2>).6s<1/2>""","=""(1/2,1/2)*""","=""1""",1,3,,"=""T5071""","=""""",
"=""""","=""228.32769""","=""""","=""1.99e+01""","=""7.78e-08""","=""5.53e+00""","=""-7.11""",D+,"=""1.9086586""","=""7.3387576""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",1,5,E2,"=""T5785""","=""""",
"=""""","=""228.74647""","=""""","=""1.83e+01""","=""7.18e-08""","=""5.12e+00""","=""-7.14""",D+,"=""1.9086586""","=""7.3288166""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",1,5,E2,"=""T5785""","=""""",
"=""229.174""","=""""","=""35""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""230.377""","=""230.37674""","=""55""","=""3.48e+08""","=""8.32e-01""","=""6.31e+00""","=""-0.080""",C+,"=""1.9086586""","=""7.2904604""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.4d""","=""1P*""","=""1""",1,3,,"=""T5071""","=""L3521""",
"=""243.589""","=""243.58931""","=""300""","=""4.43e+07""","=""3.94e-02""","=""1.58e+00""","=""-0.706""",B,"=""0.7809579""","=""5.8708445""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.3d""","=""1D*""","=""2""",5,5,,"=""T5814""","=""L3521""",
"=""243.951""","=""243.95073""","=""65""","=""7.91e+05""","=""2.12e-03""","=""1.70e-02""","=""-2.674""",D,"=""0.0000000""","=""5.0823459""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.4s""","=""1P*""","=""1""",1,3,,"=""T5814""","=""L3521""",
"=""244.410""","=""244.41052""","=""65""","=""6.28e+05""","=""5.62e-4""","=""1.36e-02""","=""-2.773""",C+,"=""0.0095610""","=""5.0823459""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4s""","=""1P*""","=""1""",3,3,,"=""T5814""","=""L3521""",
"=""245.286""","=""245.28605""","=""70""","=""5.81e+05""","=""3.14e-4""","=""1.27e-02""","=""-2.803""",D,"=""0.0276679""","=""5.0823459""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4s""","=""1P*""","=""1""",5,3,,"=""T5814""","=""L3521""",
"=""250.766""","=""250.76522""","=""425""","=""5.47e+07""","=""8.59e-02""","=""2.13e+00""","=""-0.589""",B,"=""0.0095610""","=""4.9537952""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4s""","=""3P*""","=""2""",3,5,,"=""T5814""","=""L3521""",
"=""251.508""","=""251.50725""","=""375""","=""7.39e+07""","=""2.10e-01""","=""1.74e+00""","=""-0.678""",B,"=""0.0000000""","=""4.9296471""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.4s""","=""3P*""","=""1""",1,3,,"=""T5814""","=""L3521""",
"=""251.6870""","=""251.68696""","=""500""","=""1.68e+08""","=""1.59e-01""","=""6.60e+00""","=""-0.100""",B,"=""0.0276679""","=""4.9537952""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4s""","=""3P*""","=""2""",5,5,,"=""T5814""","=""L3521""",
"=""251.9960""","=""251.99600""","=""350""","=""5.49e+07""","=""5.22e-02""","=""1.30e+00""","=""-0.805""",B,"=""0.0095610""","=""4.9296471""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4s""","=""3P*""","=""1""",3,3,,"=""T5814""","=""L3521""",
"=""252.4867""","=""252.48669""","=""425""","=""2.22e+08""","=""7.08e-02""","=""1.76e+00""","=""-0.673""",B,"=""0.0095610""","=""4.9200852""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4s""","=""3P*""","=""0""",3,1,,"=""T5814""","=""L3521""",
"=""252.9269""","=""252.92682""","=""450""","=""9.04e+07""","=""5.20e-02""","=""2.17e+00""","=""-0.585""",B,"=""0.0276679""","=""4.9296471""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4s""","=""3P*""","=""1""",5,3,,"=""T5814""","=""L3521""",
"=""253.3142""","=""253.31423""","=""110""","=""2.45e+07""","=""7.08e-02""","=""5.90e-01""","=""-1.150""",C,"=""1.9086586""","=""6.8031408""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.5s""","=""1P*""","=""1""",1,3,,"=""T5071""","=""L3521""",
"=""""","=""256.25914""","=""""","=""4.62e-03""","=""6.37e-12""","=""2.40e+02""","=""-10.50""",D,"=""0.7809579""","=""5.6191930""","=""3s2.3p2""","=""1D""","=""2""","=""3s.3p3""","=""3D*""","=""3""",5,7,M2,"=""c22""","=""""",
"=""256.4448""","=""256.44459""","=""30""","=""4.20e-03""","=""4.14e-12""","=""1.56e+02""","=""-10.68""",D,"=""0.7809579""","=""5.6156943""","=""3s2.3p2""","=""1D""","=""2""","=""3s.3p3""","=""3D*""","=""2""",5,5,M2,"=""c22""","=""L3521""",
"=""""","=""256.55934""","=""""","=""1.78e-03""","=""1.05e-12""","=""3.99e+01""","=""-11.28""",E,"=""0.7809579""","=""5.6135319""","=""3s2.3p2""","=""1D""","=""2""","=""3s.3p3""","=""3D*""","=""1""",5,3,M2,"=""c22""","=""""",
"=""256.9411""","=""256.94095""","=""85""","=""4.24e+06""","=""1.26e-02""","=""1.06e-01""","=""-1.900""",D,"=""1.9086586""","=""6.7340552""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.5s""","=""3P*""","=""1""",1,3,,"=""T5071""","=""L3521""",
"=""257.7923""","=""""","=""45""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""263.2067""","=""263.20663""","=""190""","=""1.06e+08""","=""3.30e-01""","=""2.86e+00""","=""-0.481""",B,"=""1.9086586""","=""6.6191858""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.3d""","=""1P*""","=""1""",1,3,,"=""T5814""","=""L3521""",
"=""288.2424""","=""288.24230""","=""1000""","=""2.17e+08""","=""1.62e-01""","=""7.70e+00""","=""-0.092""",B,"=""0.7809579""","=""5.0823459""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.4s""","=""1P*""","=""1""",5,3,,"=""T5814""","=""L3521""",
"=""297.1222""","=""297.12205""","=""55""","=""6.00e+04""","=""7.94e-05""","=""3.89e-03""","=""-3.401""",E,"=""0.7809579""","=""4.9537952""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.4s""","=""3P*""","=""2""",5,5,,"=""T5814""","=""L3521""",
"=""298.8517""","=""298.85150""","=""150""","=""2.66e+06""","=""2.14e-03""","=""1.06e-01""","=""-1.971""",D+,"=""0.7809579""","=""4.9296471""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.4s""","=""3P*""","=""1""",5,3,,"=""T5814""","=""L3521""",
"=""""","=""300.06554""","=""""","=""6.57e-04""","=""4.43e-12""","=""5.36e+01""","=""-11.35""",D,"=""0.0000000""","=""4.1319040""","=""3s2.3p2""","=""3P""","=""0""","=""3s.3p3""","=""5S*""","=""2""",1,5,M2,"=""c22""","=""""",
"=""300.7615""","=""300.76149""","=""50""","=""1.1e+03""","=""2.5e-06""","=""7.4e-05""","=""-5.13""",E,"=""0.0095610""","=""4.1319040""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""5S*""","=""2""",3,5,,"=""T6066c4""","=""L3521""",
"=""""","=""300.76149""","=""""","=""1.45e-03""","=""3.28e-12""","=""1.20e+02""","=""-11.01""",D,"=""0.0095610""","=""4.1319040""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""5S*""","=""2""",3,5,M2,"=""c22""","=""""",
"=""302.0884""","=""302.08837""","=""75""","=""3.3e+03""","=""4.5e-06""","=""2.2e-04""","=""-4.65""",E,"=""0.0276679""","=""4.1319040""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""5S*""","=""2""",5,5,,"=""T6066c4""","=""L3521""",
"=""""","=""302.08837""","=""""","=""1.09e-03""","=""1.49e-12""","=""9.24e+01""","=""-11.13""",D,"=""0.0276679""","=""4.1319040""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""5S*""","=""2""",5,5,M2,"=""c22""","=""""",
"=""390.6629""","=""390.66294""","=""300""","=""1.33e+07""","=""9.10e-02""","=""1.17e+00""","=""-1.041""",B,"=""1.9086586""","=""5.0823459""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.4s""","=""1P*""","=""1""",1,3,,"=""T5814""","=""L3521""",
"=""410.4094""","=""410.40938""","=""70""","=""6.09e+04""","=""4.61e-04""","=""6.23e-03""","=""-3.336""",E,"=""1.9086586""","=""4.9296471""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.4s""","=""3P*""","=""1""",1,3,,"=""T8363c22""","=""L3521""",
"=""""","=""411.71251""","=""""","=""""","=""""","=""""","=""""",,"=""1.9086586""","=""4.9200852""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.4s""","=""3P*""","=""0""",1,1,,"=""""","=""""",
"=""""","=""472.2892""","=""""","=""3.4e+05""","=""3.4e-03""","=""5.3e-02""","=""-2.47""",D,"=""4.9200852""","=""7.5452605""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.(2P*<3/2>).6p<1/2>""","=""(3/2,1/2)""","=""1""",1,3,,"=""T6066c4,LS""","=""""",
"=""""","=""474.0158""","=""""","=""1.0e+06""","=""3.4e-03""","=""1.6e-01""","=""-2.00""",D,"=""4.9296471""","=""7.5452605""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.(2P*<3/2>).6p<1/2>""","=""(3/2,1/2)""","=""1""",3,3,,"=""T6066c4,LS""","=""""",
"=""""","=""474.9321""","=""""","=""5.7e+05""","=""3.2e-03""","=""1.5e-01""","=""-2.02""",D,"=""4.9296471""","=""7.5402137""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.(2P*<3/2>).6p<1/2>""","=""(3/2,1/2)""","=""2""",3,5,,"=""T6066c4,LS""","=""""",
"=""""","=""475.6606""","=""""","=""7.5e+05""","=""7.6e-03""","=""1.2e-01""","=""-2.12""",D,"=""4.9200852""","=""7.5266539""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""1""",1,3,,"=""T6066c4,LS""","=""""",
"=""""","=""477.4119""","=""""","=""5.7e+05""","=""1.9e-03""","=""9.2e-02""","=""-2.23""",D,"=""4.9296471""","=""7.5266539""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""1""",3,3,,"=""T6066c4,LS""","=""""",
"=""478.4328""","=""478.4328""","=""50""","=""1.7e+06""","=""3.5e-03""","=""2.8e-01""","=""-1.76""",D,"=""4.9537952""","=""7.5452605""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).6p<1/2>""","=""(3/2,1/2)""","=""1""",5,3,,"=""T6066c4,LS""","=""L3521""",
"=""479.3552""","=""479.3552""","=""35""","=""2.2e+06""","=""2.5e-03""","=""1.2e-01""","=""-2.12""",D,"=""4.9296471""","=""7.516125""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.(2P*<1/2>).6p<1/2>""","=""(1/2,1/2)""","=""0""",3,1,,"=""T6066c4,LS""","=""L3521""",
"=""479.3664""","=""479.3663""","=""80""","=""1.7e+06""","=""5.9e-03""","=""4.6e-01""","=""-1.53""",D,"=""4.9537952""","=""7.5402137""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).6p<1/2>""","=""(3/2,1/2)""","=""2""",5,5,,"=""T6066c4,LS""","=""L3521""",
"=""""","=""480.6782""","=""""","=""6.0e+05""","=""6.2e-03""","=""9.9e-02""","=""-2.21""",D,"=""4.9200852""","=""7.4994450""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.(2P*<1/2>).6p<3/2>""","=""(1/2,3/2)""","=""1""",1,3,,"=""T6066c4,LS""","=""""",
"=""""","=""481.8928""","=""""","=""9.1e+05""","=""1.9e-03""","=""1.5e-01""","=""-2.02""",D,"=""4.9537952""","=""7.5266539""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""1""",5,3,,"=""T6066c4,LS""","=""""",
"=""""","=""481.9399""","=""""","=""1.1e+06""","=""5.4e-03""","=""4.3e-01""","=""-1.57""",D,"=""4.9537952""","=""7.526402""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""3""",5,7,,"=""T6066c4,LS""","=""""",
"=""""","=""482.2514""","=""""","=""8.0e+05""","=""4.6e-03""","=""2.2e-01""","=""-1.86""",D,"=""4.9296471""","=""7.5005925""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.(2P*<1/2>).6p<3/2>""","=""(1/2,3/2)""","=""2""",3,5,,"=""T6066c4,LS""","=""""",
"=""""","=""482.4667""","=""""","=""4.5e+05""","=""1.6e-03""","=""7.5e-02""","=""-2.33""",E,"=""4.9296471""","=""7.4994450""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.(2P*<1/2>).6p<3/2>""","=""(1/2,3/2)""","=""1""",3,3,,"=""T6066c4,LS""","=""""",
"=""""","=""486.8240""","=""""","=""2.6e+05""","=""9.2e-04""","=""7.4e-02""","=""-2.34""",E,"=""4.9537952""","=""7.5005925""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.(2P*<1/2>).6p<3/2>""","=""(1/2,3/2)""","=""2""",5,5,,"=""T6066c4,LS""","=""""",
"=""""","=""487.0434""","=""""","=""2.9e+04""","=""6.2e-05""","=""5.0e-03""","=""-3.51""",E,"=""4.9537952""","=""7.4994450""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.(2P*<1/2>).6p<3/2>""","=""(1/2,3/2)""","=""1""",5,3,,"=""T6066c4,LS""","=""""",
"=""494.8988""","=""494.8988""","=""30""","=""4.2e+06""","=""5.1e-03""","=""2.5e-01""","=""-1.81""",D,"=""5.0823459""","=""7.5875894""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""0""",3,1,,"=""T1619CA""","=""L3521""",
"=""500.7457""","=""500.7456""","=""40""","=""2.8e+06""","=""1.8e-02""","=""8.7e-01""","=""-1.28""",D,"=""5.0823459""","=""7.5583377""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.(2P*<3/2>).6p<3/2>""","=""(3/2,3/2)""","=""2""",3,5,,"=""T1619CA""","=""L3521""",
"=""549.476""","=""""","=""40""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""551.9068""","=""""","=""35""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""559.9494""","=""""","=""5.4e+05""","=""7.6e-03""","=""1.4e-01""","=""-2.12""",D,"=""4.9200852""","=""7.1342886""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.5p""","=""3S""","=""1""",1,3,,"=""T6066c4,LS""","=""""",
"=""562.3782""","=""562.3780""","=""30""","=""1.6e+06""","=""7.6e-03""","=""4.2e-01""","=""-1.64""",D,"=""4.9296471""","=""7.1342886""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.5p""","=""3S""","=""1""",3,3,,"=""T6066c4,LS""","=""L3521""",
"=""564.7178""","=""564.7180""","=""90""","=""9.7e+05""","=""7.7e-03""","=""4.3e-01""","=""-1.63""",D,"=""4.9296471""","=""7.1251535""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.5p""","=""3P""","=""2""",3,5,,"=""T6066c4,LS""","=""L3521""",
"=""566.7126""","=""566.7127""","=""80""","=""6.31e+05""","=""9.12e-03""","=""1.70e-01""","=""-2.040""",D,"=""4.9200852""","=""7.1078640""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.5p""","=""3P""","=""1""",1,3,,"=""T2301""","=""L3521""",
"=""568.6061""","=""568.6062""","=""120""","=""2.6e+06""","=""7.6e-03""","=""7.1e-01""","=""-1.42""",D,"=""4.9537952""","=""7.1342886""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.5p""","=""3S""","=""1""",5,3,,"=""T6066c4,LS""","=""L3521""",
"=""569.2004""","=""569.2004""","=""100""","=""9.26e+05""","=""4.50e-03""","=""2.53e-01""","=""-1.870""",D+,"=""4.9296471""","=""7.1078640""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.5p""","=""3P""","=""1""",3,3,,"=""T2301""","=""L3521""",
"=""570.2687""","=""570.2686""","=""90""","=""1.83e+06""","=""2.97e-03""","=""1.67e-01""","=""-2.050""",D,"=""4.9296471""","=""7.1037839""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.5p""","=""3P""","=""0""",3,1,,"=""T2301""","=""L3521""",
"=""570.9981""","=""570.9983""","=""160""","=""1.39e+06""","=""6.78e-03""","=""6.37e-01""","=""-1.470""",D+,"=""4.9537952""","=""7.1251535""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.5p""","=""3P""","=""2""",5,5,,"=""T2301""","=""L3521""",
"=""574.9261""","=""""","=""45""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""575.5221""","=""""","=""45""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""575.5816""","=""575.5814""","=""45""","=""1.23e+06""","=""3.68e-03""","=""3.49e-01""","=""-1.735""",E,"=""4.9537952""","=""7.1078640""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.5p""","=""3P""","=""1""",5,3,,"=""T8363""","=""L3521""",
"=""576.4575""","=""""","=""45""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""577.3746""","=""577.3747""","=""70""","=""3.56e+06""","=""5.93e-03""","=""3.38e-01""","=""-1.750""",D+,"=""5.0823459""","=""7.2297243""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.5p""","=""1S""","=""0""",3,1,,"=""T2301""","=""L3521""",
"=""578.1987""","=""578.1987""","=""70""","=""2.97e+05""","=""4.47e-03""","=""8.50e-02""","=""-2.350""",D,"=""4.9200852""","=""7.0644034""","=""3s2.3p.4s""","=""3P*""","=""0""","=""3s2.3p.5p""","=""3D""","=""1""",1,3,,"=""T2301""","=""L3521""",
"=""579.4677""","=""579.4679""","=""90""","=""3.83e+05""","=""3.21e-03""","=""1.84e-01""","=""-2.016""",E,"=""4.9296471""","=""7.0692685""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.5p""","=""3D""","=""2""",3,5,,"=""T8363""","=""L3521""",
"=""579.9467""","=""579.9464""","=""100""","=""2.53e+05""","=""1.78e-03""","=""1.70e-01""","=""-2.051""",D,"=""4.9537952""","=""7.0916515""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.5p""","=""3D""","=""3""",5,7,,"=""T2301""","=""L3521""",
"=""""","=""580.7885""","=""""","=""2.12e+05""","=""1.07e-03""","=""6.14e-02""","=""-2.493""",E,"=""4.9296471""","=""7.0644034""","=""3s2.3p.4s""","=""3P*""","=""1""","=""3s2.3p.5p""","=""3D""","=""1""",3,3,,"=""T8363""","=""""",
"=""""","=""586.0825""","=""""","=""1.24e+05""","=""6.36e-04""","=""6.14e-02""","=""-2.498""",E,"=""4.9537952""","=""7.0692685""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.5p""","=""3D""","=""2""",5,5,,"=""T8363""","=""""",
"=""""","=""587.4335""","=""""","=""1.36e+04""","=""4.23e-05""","=""4.09e-03""","=""-3.675""",E,"=""4.9537952""","=""7.0644034""","=""3s2.3p.4s""","=""3P*""","=""2""","=""3s2.3p.5p""","=""3D""","=""1""",5,3,,"=""T8363""","=""""",
"=""587.5392""","=""""","=""40""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""595.0193""","=""595.0189""","=""200""","=""2.22e+06""","=""1.96e-02""","=""1.15e+00""","=""-1.231""",C,"=""5.0823459""","=""7.1660476""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.5p""","=""1D""","=""2""",3,5,,"=""T2301""","=""L3521""",
"=""612.6716""","=""""","=""90""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""613.3271""","=""""","=""85""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""613.3547""","=""""","=""90""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""614.4187""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""614.6716""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""615.6837""","=""""","=""160""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""623.9045""","=""""","=""160""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""624.0013""","=""""","=""40""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""624.5540""","=""""","=""125""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""624.6195""","=""""","=""125""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""625.5918""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""633.3705""","=""633.3707""","=""45""","=""1.0e+04""","=""6.0e-05""","=""3.8e-03""","=""-3.74""",E,"=""5.0823459""","=""7.0398757""","=""3s2.3p.4s""","=""1P*""","=""1""","=""3s2.3p.5p""","=""1P""","=""1""",3,3,,"=""T1619CA""","=""L3521""",
"=""""","=""652.053""","=""""","=""5.9e+05""","=""6.3e-03""","=""4.0e-01""","=""-1.73""",D,"=""5.9537304""","=""7.855173""","=""3s2.3p.4p""","=""3D""","=""1""","=""3s2.3p.7d""","=""1D*""","=""2""",3,5,,"=""T6066c4,LS""","=""""",
"=""652.8412""","=""""","=""45""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""652.8585""","=""""","=""2.74e-02""","=""5.84e-11""","=""2.83e-04""","=""-9.76""",D,"=""0.0095610""","=""1.9086586""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p2""","=""1S""","=""0""",3,1,M1,"=""c22,T4209""","=""""",
"=""652.9002""","=""""","=""45""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
"=""""","=""655.569""","=""""","=""1.1e+05""","=""7.1e-04""","=""7.6e-02""","=""-2.45""",E,"=""5.9639280""","=""7.855173""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.7d""","=""1D*""","=""2""",5,5,,"=""T6066c4,LS""","=""""",
"=""655.7273""","=""655.7273""","=""45""","=""6.9e+05""","=""5.7e-03""","=""8.6e-01""","=""-1.40""",D,"=""5.9840096""","=""7.8747985""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.7d""","=""3F*""","=""4""",7,9,,"=""T6066c4,LS""","=""L3521""",
"=""""","=""656.238""","=""""","=""6.0e+05""","=""5.4e-03""","=""5.9e-01""","=""-1.57""",D,"=""5.9639280""","=""7.853246""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.7d""","=""3F*""","=""3""",5,7,,"=""T6066c4,LS""","=""""",
"=""""","=""659.1431""","=""""","=""7.75e-04""","=""1.01e-12""","=""8.61e-03""","=""-11.30""",D,"=""0.0276679""","=""1.9086586""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p2""","=""1S""","=""0""",5,1,E2,"=""c22,T4209""","=""""",
"=""""","=""662.605""","=""""","=""2.9e+03""","=""1.4e-05""","=""2.1e-03""","=""-4.02""",E,"=""5.9840096""","=""7.855173""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.7d""","=""1D*""","=""2""",7,5,,"=""T6066c4,LS""","=""""",
"=""""","=""663.288""","=""""","=""7.3e+04""","=""4.8e-04""","=""7.4e-02""","=""-2.47""",E,"=""5.9840096""","=""7.853246""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.7d""","=""3F*""","=""3""",7,7,,"=""T6066c4,LS""","=""""",
"=""672.3709""","=""672.3704""","=""100""","=""3.4e+06""","=""3.8e-02""","=""2.6e+00""","=""-0.94""",D,"=""5.8624764""","=""7.7064630""","=""3s2.3p.4p""","=""1P""","=""1""","=""3s2.3p.6d""","=""1D*""","=""2""",3,5,,"=""T1619CA""","=""L3521""",
"=""674.350""","=""""","=""30""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3521""",
