obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""32.02926""","=""0.00010""","=""32.02935""","=""0.00012""","=""10*""","=""""","=""""","=""""","=""""",,"=""[20.96421885051]""","=""59.67378""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""3P""","=""0,1,2""",1,9,,"=""""","=""L1341""",
"=""32.02926""","=""0.00010""","=""32.02925""","=""0.00012""","=""10*""","=""""","=""""","=""""","=""""",,"=""[20.96409636464]""","=""59.67378""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""0,1,2""",3,9,,"=""""","=""L1341""",
"=""32.02926""","=""0.00010""","=""32.02924""","=""0.00012""","=""10*""","=""""","=""""","=""""","=""""",,"=""[20.96408688908]""","=""59.67378""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""0,1,2""",5,9,,"=""""","=""L1341""",
"=""50.561""","=""0.006""","=""50.5500354""","=""0.0000003""","=""2""","=""""","=""""","=""""","=""""",,"=""[0.00000000]""","=""[24.527025054182]""","=""1s2""","=""1S""","=""0""","=""1s.15p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
"=""50.575""","=""0.006""","=""50.5684333""","=""0.0000003""","=""3""","=""""","=""""","=""""","=""""",,"=""[0.00000000]""","=""[24.518101588364]""","=""1s2""","=""1S""","=""0""","=""1s.14p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
"=""50.590""","=""0.006""","=""50.5912527""","=""0.0000003""","=""4""","=""""","=""""","=""""","=""""",,"=""[0.00000000]""","=""[24.507042603098]""","=""1s2""","=""1S""","=""0""","=""1s.13p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
"=""50.631""","=""0.006""","=""50.6200349""","=""0.0000003""","=""5""","=""""","=""""","=""""","=""""",,"=""[0.00000000]""","=""[24.493108062951]""","=""1s2""","=""1S""","=""0""","=""1s.12p""","=""1P*""","=""1""",1,3,,"=""""","=""L14923""",
"=""50.656""","=""0.002""","=""50.6570577""","=""0.0000003""","=""7""","=""""","=""""","=""""","=""""",,"=""[0.00000000]""","=""[24.475207217946]""","=""1s2""","=""1S""","=""0""","=""1s.11p""","=""1P*""","=""1""",1,3,,"=""""","=""L14922""",
"=""50.708""","=""0.002""","=""50.7058027""","=""0.0000003""","=""10""","=""1.5929e+07""","=""1.8420e-03""","=""3.0748e-03""","=""-2.73472""",AAA,"=""[0.00000000]""","=""[24.451678459372]""","=""1s2""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
"=""50.771""","=""0.002""","=""50.7718102""","=""0.0000003""","=""15""","=""2.1826e+07""","=""2.5304e-03""","=""4.2296e-03""","=""-2.59680""",AAA,"=""[0.00000000]""","=""[24.419889314325]""","=""1s2""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14922""",
