obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""541.3082""","=""0.0002""","=""541.30823""","=""""","=""1.86e+05""","=""1.23e-03""","=""8.74e-02""","=""-2.31""",,"=""1.72635573""","=""4.0168104""","=""7p""","=""2P*""","=""3/2""","=""19d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""541.3436""","=""0.0002""","=""541.34366""","=""""","=""3.13e+04""","=""1.38e-04""","=""9.80e-03""","=""-3.26""",,"=""1.72635573""","=""4.0166605""","=""7p""","=""2P*""","=""3/2""","=""19d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""542.5216""","=""0.0002""","=""542.52159""","=""""","=""6.99e+04""","=""1.54e-04""","=""1.10e-02""","=""-3.21""",,"=""1.72635573""","=""4.0116878""","=""7p""","=""2P*""","=""3/2""","=""20s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""543.1881""","=""0.0002""","=""543.18810""","=""""","=""6.66e+05""","=""4.42e-03""","=""3.16e-01""","=""-1.75""",,"=""1.72635573""","=""4.0088836""","=""7p""","=""2P*""","=""3/2""","=""18d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""543.2316""","=""0.0002""","=""543.23156""","=""""","=""3.73e+04""","=""1.65e-04""","=""1.18e-02""","=""-3.18""",,"=""1.72635573""","=""4.0087010""","=""7p""","=""2P*""","=""3/2""","=""18d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""544.6865""","=""0.0002""","=""544.68658""","=""""","=""8.73e+04""","=""1.94e-04""","=""1.39e-02""","=""-3.11""",,"=""1.72635573""","=""4.0026042""","=""7p""","=""2P*""","=""3/2""","=""19s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""545.5158""","=""0.0002""","=""545.51573""","=""""","=""2.77e+05""","=""1.85e-03""","=""1.33e-01""","=""-2.13""",,"=""1.72635573""","=""3.9991444""","=""7p""","=""2P*""","=""3/2""","=""17d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""545.5701""","=""0.0002""","=""545.57008""","=""""","=""4.55e+04""","=""2.03e-04""","=""1.46e-02""","=""-3.09""",,"=""1.72635573""","=""3.9989180""","=""7p""","=""2P*""","=""3/2""","=""17d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""545.7891""","=""0.0002""","=""545.78911""","=""""","=""4.56e+05""","=""2.04e-03""","=""7.32e-02""","=""-2.39""",,"=""1.51724535""","=""3.7888956""","=""7p""","=""2P*""","=""1/2""","=""12s""","=""2S""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""547.3978""","=""0.0002""","=""547.39772""","=""""","=""1.06e+05""","=""2.38e-04""","=""1.72e-02""","=""-3.02""",,"=""1.72635573""","=""3.9913304""","=""7p""","=""2P*""","=""3/2""","=""18s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""548.4477""","=""0.0002""","=""548.44779""","=""""","=""3.45e+05""","=""2.33e-03""","=""1.69e-01""","=""-2.03""",,"=""1.72635573""","=""3.9869938""","=""7p""","=""2P*""","=""3/2""","=""16d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""548.5169""","=""0.0002""","=""548.51684""","=""""","=""5.80e+04""","=""2.62e-04""","=""1.89e-02""","=""-2.98""",,"=""1.72635573""","=""3.9867093""","=""7p""","=""2P*""","=""3/2""","=""16d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""550.8582""","=""0.0002""","=""550.85814""","=""""","=""1.35e+05""","=""3.07e-04""","=""2.23e-02""","=""-2.91""",,"=""1.72635573""","=""3.9771021""","=""7p""","=""2P*""","=""3/2""","=""17s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""552.2171""","=""0.0002""","=""552.21700""","=""""","=""4.48e+05""","=""3.07e-03""","=""2.23e-01""","=""-1.91""",,"=""1.72635573""","=""3.9715636""","=""7p""","=""2P*""","=""3/2""","=""15d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""552.3058""","=""0.0002""","=""552.30582""","=""""","=""7.37e+04""","=""3.37e-04""","=""2.45e-02""","=""-2.87""",,"=""1.72635573""","=""3.9712026""","=""7p""","=""2P*""","=""3/2""","=""15d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""553.3252""","=""0.0002""","=""553.32526""","=""""","=""2.67e+06""","=""2.45e-02""","=""8.93e-01""","=""-1.31""",,"=""1.51724535""","=""3.7579563""","=""7p""","=""2P*""","=""1/2""","=""10d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""555.3769""","=""0.0002""","=""555.37688""","=""""","=""1.75e+05""","=""4.05e-04""","=""2.96e-02""","=""-2.79""",,"=""1.72635573""","=""3.9587893""","=""7p""","=""2P*""","=""3/2""","=""16s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""557.1802""","=""0.0002""","=""557.18017""","=""""","=""1.74e+06""","=""1.21e-02""","=""8.91e-01""","=""-1.32""",,"=""1.72635573""","=""3.9515641""","=""7p""","=""2P*""","=""3/2""","=""14d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""557.2991""","=""0.0002""","=""557.29916""","=""""","=""9.77e+04""","=""4.55e-04""","=""3.34e-02""","=""-2.74""",,"=""1.72635573""","=""3.9510890""","=""7p""","=""2P*""","=""3/2""","=""14d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""561.4450""","=""0.0002""","=""561.44499""","=""""","=""2.37e+05""","=""5.60e-04""","=""4.14e-02""","=""-2.65""",,"=""1.72635573""","=""3.9346611""","=""7p""","=""2P*""","=""3/2""","=""15s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""563.9154""","=""0.0002""","=""563.91538""","=""""","=""2.35e+06""","=""1.68e-02""","=""1.25e+00""","=""-1.17""",,"=""1.72635573""","=""3.9249870""","=""7p""","=""2P*""","=""3/2""","=""13d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""564.0793""","=""0.0002""","=""564.07936""","=""""","=""1.32e+05""","=""6.30e-04""","=""4.68e-02""","=""-2.60""",,"=""1.72635573""","=""3.9243478""","=""7p""","=""2P*""","=""3/2""","=""13d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""569.8828""","=""0.0002""","=""569.88282""","=""""","=""3.25e+05""","=""7.91e-04""","=""5.94e-02""","=""-2.50""",,"=""1.72635573""","=""3.9019644""","=""7p""","=""2P*""","=""3/2""","=""14s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""572.0332""","=""0.0002""","=""572.03329""","=""""","=""7.38e+05""","=""3.62e-03""","=""1.36e-01""","=""-2.14""",,"=""1.51724535""","=""3.6846751""","=""7p""","=""2P*""","=""1/2""","=""11s""","=""2S""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""573.4058""","=""0.0002""","=""573.40577""","=""""","=""1.09e+06""","=""8.06e-03""","=""6.09e-01""","=""-1.49""",,"=""1.72635573""","=""3.8885976""","=""7p""","=""2P*""","=""3/2""","=""12d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""573.6409""","=""0.0002""","=""573.64092""","=""""","=""1.80e+05""","=""8.88e-04""","=""6.71e-02""","=""-2.45""",,"=""1.72635573""","=""3.8877113""","=""7p""","=""2P*""","=""3/2""","=""12d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""585.5114""","=""0.0002""","=""585.51136""","=""""","=""4.44e+06""","=""4.56e-02""","=""1.76e+00""","=""-1.04""",,"=""1.51724535""","=""3.6347824""","=""7p""","=""2P*""","=""1/2""","=""9d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""587.4528""","=""0.0002""","=""587.45277""","=""""","=""1.58e+06""","=""1.23e-02""","=""9.49e-01""","=""-1.31""",,"=""1.72635573""","=""3.8368947""","=""7p""","=""2P*""","=""3/2""","=""11d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""587.8091""","=""0.0002""","=""587.80906""","=""""","=""2.65e+05""","=""1.37e-03""","=""1.06e-01""","=""-2.26""",,"=""1.72635573""","=""3.8356155""","=""7p""","=""2P*""","=""3/2""","=""11d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""601.1238""","=""0.0002""","=""601.12389""","=""""","=""6.84e+05""","=""1.85e-03""","=""1.47e-01""","=""-2.13""",,"=""1.72635573""","=""3.7888956""","=""7p""","=""2P*""","=""3/2""","=""12s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""609.6963""","=""0.0002""","=""609.69635""","=""""","=""3.56e+06""","=""2.98e-02""","=""2.39e+00""","=""-0.924""",,"=""1.72635573""","=""3.7598958""","=""7p""","=""2P*""","=""3/2""","=""10d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""610.2784""","=""0.0002""","=""610.27841""","=""""","=""3.99e+05""","=""2.23e-03""","=""1.79e-01""","=""-2.05""",,"=""1.72635573""","=""3.7579563""","=""7p""","=""2P*""","=""3/2""","=""10d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""618.731""","=""0.002""","=""618.7307""","=""""","=""7.93e+02""","=""4.55e-06""","=""3.71e-04""","=""-4.74""",,"=""2.012247""","=""4.016095""","=""6d""","=""2D""","=""3/2""","=""20p""","=""2P*""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""618.954""","=""0.002""","=""618.9544""","=""""","=""7.94e+03""","=""2.28e-05""","=""1.86e-03""","=""-4.04""",,"=""2.012247""","=""4.015371""","=""6d""","=""2D""","=""3/2""","=""20p""","=""2P*""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""621.238""","=""0.002""","=""621.2376""","=""""","=""9.90e+02""","=""5.73e-06""","=""4.69e-04""","=""-4.64""",,"=""2.012247""","=""4.008009""","=""6d""","=""2D""","=""3/2""","=""19p""","=""2P*""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""621.513""","=""0.002""","=""621.5133""","=""""","=""9.91e+03""","=""2.87e-05""","=""2.35e-03""","=""-3.94""",,"=""2.012247""","=""4.007123""","=""6d""","=""2D""","=""3/2""","=""19p""","=""2P*""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""622.1534""","=""0.0002""","=""622.15334""","=""""","=""1.33e+06""","=""7.72e-03""","=""3.16e-01""","=""-1.81""",,"=""1.51724535""","=""3.5100692""","=""7p""","=""2P*""","=""1/2""","=""10s""","=""2S""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""624.351""","=""0.002""","=""624.3507""","=""""","=""1.23e+03""","=""7.19e-06""","=""5.91e-04""","=""-4.54""",,"=""2.012247""","=""3.998058""","=""6d""","=""2D""","=""3/2""","=""18p""","=""2P*""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""624.697""","=""0.002""","=""624.6962""","=""""","=""1.21e+04""","=""3.54e-05""","=""2.91e-03""","=""-3.85""",,"=""2.012247""","=""3.996959""","=""6d""","=""2D""","=""3/2""","=""18p""","=""2P*""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""626.474""","=""0.002""","=""626.4742""","=""""","=""6.89e+03""","=""2.70e-05""","=""3.34e-03""","=""-3.79""",,"=""2.037016""","=""4.016095""","=""6d""","=""2D""","=""5/2""","=""20p""","=""2P*""","=""3/2""",6,4,,"=""T6898""","=""L12264""",
"=""628.286""","=""0.002""","=""628.2855""","=""""","=""1.53e+03""","=""9.05e-06""","=""7.49e-04""","=""-4.44""",,"=""2.012247""","=""3.985621""","=""6d""","=""2D""","=""3/2""","=""17p""","=""2P*""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""628.727""","=""0.002""","=""628.7268""","=""""","=""1.54e+04""","=""4.56e-05""","=""3.78e-03""","=""-3.74""",,"=""2.012247""","=""3.984236""","=""6d""","=""2D""","=""3/2""","=""17p""","=""2P*""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""629.044""","=""0.002""","=""629.0444""","=""""","=""8.60e+03""","=""3.40e-05""","=""4.23e-03""","=""-3.69""",,"=""2.037016""","=""4.008009""","=""6d""","=""2D""","=""5/2""","=""19p""","=""2P*""","=""3/2""",6,4,,"=""T6898""","=""L12264""",
"=""632.237""","=""0.002""","=""632.2363""","=""""","=""1.05e+04""","=""4.19e-05""","=""5.24e-03""","=""-3.60""",,"=""2.037016""","=""3.998058""","=""6d""","=""2D""","=""5/2""","=""18p""","=""2P*""","=""3/2""",6,4,,"=""T6898""","=""L12264""",
"=""633.1153""","=""0.0003""","=""633.1153""","=""""","=""1.10e+06""","=""3.31e-03""","=""2.76e-01""","=""-1.88""",,"=""1.72635573""","=""3.6846751""","=""7p""","=""2P*""","=""3/2""","=""11s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""633.365""","=""0.002""","=""633.3652""","=""""","=""1.99e+03""","=""1.20e-05""","=""9.98e-04""","=""-4.32""",,"=""2.012247""","=""3.969794""","=""6d""","=""2D""","=""3/2""","=""16p""","=""2P*""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""633.941""","=""0.002""","=""633.9413""","=""""","=""1.99e+04""","=""5.99e-05""","=""5.00e-03""","=""-3.62""",,"=""2.012247""","=""3.968015""","=""6d""","=""2D""","=""3/2""","=""16p""","=""2P*""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""636.272""","=""0.002""","=""636.2716""","=""""","=""1.33e+04""","=""5.38e-05""","=""6.76e-03""","=""-3.49""",,"=""2.037016""","=""3.985621""","=""6d""","=""2D""","=""5/2""","=""17p""","=""2P*""","=""3/2""",6,4,,"=""T6898""","=""L12264""",
"=""640.091""","=""0.002""","=""640.0909""","=""""","=""2.63e+03""","=""1.62e-05""","=""1.36e-03""","=""-4.19""",,"=""2.012247""","=""3.949225""","=""6d""","=""2D""","=""3/2""","=""15p""","=""2P*""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""640.866""","=""0.002""","=""640.8658""","=""""","=""2.63e+04""","=""8.10e-05""","=""6.83e-03""","=""-3.49""",,"=""2.012247""","=""3.946883""","=""6d""","=""2D""","=""3/2""","=""15p""","=""2P*""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""641.481""","=""0.002""","=""641.4817""","=""""","=""1.73e+04""","=""7.12e-05""","=""9.02e-03""","=""-3.37""",,"=""2.037016""","=""3.969794""","=""6d""","=""2D""","=""5/2""","=""16p""","=""2P*""","=""3/2""",6,4,,"=""T6898""","=""L12264""",
"=""648.382""","=""0.002""","=""648.3819""","=""""","=""2.28e+04""","=""9.58e-05""","=""1.23e-02""","=""-3.24""",,"=""2.037016""","=""3.949225""","=""6d""","=""2D""","=""5/2""","=""15p""","=""2P*""","=""3/2""",6,4,,"=""T6898""","=""L12264""",
"=""648.6002""","=""0.0003""","=""648.6002""","=""""","=""3.91e+06""","=""3.70e-02""","=""3.16e+00""","=""-0.830""",,"=""1.72635573""","=""3.6379217""","=""7p""","=""2P*""","=""3/2""","=""9d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""649.282""","=""0.002""","=""649.2823""","=""""","=""3.61e+03""","=""2.28e-05""","=""1.95e-03""","=""-4.04""",,"=""2.012247""","=""3.921805""","=""6d""","=""2D""","=""3/2""","=""14p""","=""2P*""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""649.6671""","=""0.0003""","=""649.6671""","=""""","=""6.41e+05""","=""4.06e-03""","=""3.47e-01""","=""-1.79""",,"=""1.72635573""","=""3.6347824""","=""7p""","=""2P*""","=""3/2""","=""9d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""650.361""","=""0.002""","=""650.3608""","=""""","=""3.52e+04""","=""1.12e-04""","=""9.56e-03""","=""-3.35""",,"=""2.012247""","=""3.918638""","=""6d""","=""2D""","=""3/2""","=""14p""","=""2P*""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
