obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""794.483""","=""0.004""","=""794.484""","=""""","=""7.98e+03""","=""1.51e-04""","=""7.90e-03""","=""-3.52""",,"=""2.447446""","=""4.008009""","=""8s""","=""2S""","=""1/2""","=""19p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""794.935""","=""0.004""","=""794.935""","=""""","=""7.99e+03""","=""7.57e-05""","=""3.96e-03""","=""-3.82""",,"=""2.447446""","=""4.007123""","=""8s""","=""2S""","=""1/2""","=""19p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""799.582""","=""0.004""","=""799.582""","=""""","=""9.92e+03""","=""1.90e-04""","=""1.00e-02""","=""-3.42""",,"=""2.447446""","=""3.998058""","=""8s""","=""2S""","=""1/2""","=""18p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""800.149""","=""0.004""","=""800.149""","=""""","=""9.93e+03""","=""9.53e-05""","=""5.02e-03""","=""-3.72""",,"=""2.447446""","=""3.996959""","=""8s""","=""2S""","=""1/2""","=""18p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""806.048""","=""0.004""","=""806.047""","=""""","=""1.29e+04""","=""2.51e-04""","=""1.33e-02""","=""-3.30""",,"=""2.447446""","=""3.985621""","=""8s""","=""2S""","=""1/2""","=""17p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""806.774""","=""0.004""","=""806.774""","=""""","=""1.29e+04""","=""1.26e-04""","=""6.69e-03""","=""-3.60""",,"=""2.447446""","=""3.984236""","=""8s""","=""2S""","=""1/2""","=""17p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""814.427""","=""0.004""","=""814.427""","=""""","=""1.70e+04""","=""3.38e-04""","=""1.81e-02""","=""-3.17""",,"=""2.447446""","=""3.969794""","=""8s""","=""2S""","=""1/2""","=""16p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""815.380""","=""0.004""","=""815.380""","=""""","=""1.66e+04""","=""1.65e-04""","=""8.88e-03""","=""-3.48""",,"=""2.447446""","=""3.968015""","=""8s""","=""2S""","=""1/2""","=""16p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""817.1664""","=""0.0002""","=""817.16644""","=""""","=""3.22e+07""","=""3.22e-01""","=""1.73e+01""","=""-0.191""",,"=""0.00000000""","=""1.51724535""","=""7s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""825.582""","=""0.004""","=""825.582""","=""""","=""2.28e+04""","=""4.66e-04""","=""2.53e-02""","=""-3.03""",,"=""2.447446""","=""3.949225""","=""8s""","=""2S""","=""1/2""","=""15p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""826.871""","=""0.004""","=""826.871""","=""""","=""2.28e+04""","=""2.34e-04""","=""1.27e-02""","=""-3.33""",,"=""2.447446""","=""3.946883""","=""8s""","=""2S""","=""1/2""","=""15p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""832.874""","=""0.002""","=""832.8738""","=""""","=""1.66e+07""","=""3.45e-01""","=""1.89e+01""","=""-0.161""",,"=""1.51724535""","=""3.005877""","=""7p""","=""2P*""","=""1/2""","=""7d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""840.936""","=""0.004""","=""840.936""","=""""","=""3.18e+04""","=""6.74e-04""","=""3.73e-02""","=""-2.87""",,"=""2.447446""","=""3.921805""","=""8s""","=""2S""","=""1/2""","=""14p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""842.747""","=""0.004""","=""842.746""","=""""","=""3.17e+04""","=""3.38e-04""","=""1.87e-02""","=""-3.17""",,"=""2.447446""","=""3.918638""","=""8s""","=""2S""","=""1/2""","=""14p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""851.281""","=""0.004""","=""851.281""","=""""","=""3.66e+06""","=""1.99e-02""","=""2.23e+00""","=""-1.10""",,"=""1.72635573""","=""3.182798""","=""7p""","=""2P*""","=""3/2""","=""9s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""863.000""","=""0.004""","=""863.000""","=""""","=""4.68e+04""","=""1.05e-03""","=""5.94e-02""","=""-2.68""",,"=""2.447446""","=""3.884110""","=""8s""","=""2S""","=""1/2""","=""13p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""865.671""","=""0.004""","=""865.670""","=""""","=""4.66e+04""","=""5.24e-04""","=""2.98e-02""","=""-2.98""",,"=""2.447446""","=""3.879679""","=""8s""","=""2S""","=""1/2""","=""13p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""896.605""","=""0.005""","=""896.605""","=""""","=""7.53e+04""","=""1.82e-03""","=""1.07e-01""","=""-2.44""",,"=""2.447446""","=""3.830264""","=""8s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""897.961""","=""0.005""","=""897.962""","=""""","=""3.85e+04""","=""4.65e-04""","=""5.50e-02""","=""-2.73""",,"=""2.012247""","=""3.392976""","=""6d""","=""2D""","=""3/2""","=""9p""","=""2P*""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""900.819""","=""0.005""","=""900.820""","=""""","=""7.31e+04""","=""8.89e-04""","=""5.27e-02""","=""-2.75""",,"=""2.447446""","=""3.823794""","=""8s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""914.364""","=""0.005""","=""914.364""","=""""","=""3.31e+05""","=""2.77e-03""","=""5.00e-01""","=""-1.78""",,"=""2.037016""","=""3.392976""","=""6d""","=""2D""","=""5/2""","=""9p""","=""2P*""","=""3/2""",6,4,,"=""T6898""","=""L12264""",
"=""918.414""","=""0.005""","=""918.414""","=""""","=""3.61e+05""","=""2.28e-03""","=""2.76e-01""","=""-2.04""",,"=""2.012247""","=""3.362230""","=""6d""","=""2D""","=""3/2""","=""9p""","=""2P*""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""952.234""","=""0.005""","=""952.234""","=""""","=""1.30e+05""","=""3.53e-03""","=""2.22e-01""","=""-2.15""",,"=""2.447446""","=""3.749481""","=""8s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""959.592""","=""0.005""","=""959.593""","=""""","=""1.29e+05""","=""1.78e-03""","=""1.13e-01""","=""-2.45""",,"=""2.447446""","=""3.739496""","=""8s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""960.713""","=""0.003""","=""960.713""","=""""","=""1.29e+07""","=""2.68e-01""","=""3.39e+01""","=""0.030""",,"=""1.72635573""","=""3.016899""","=""7p""","=""2P*""","=""3/2""","=""7d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""968.990""","=""0.003""","=""968.989""","=""""","=""2.09e+06""","=""2.94e-02""","=""3.75e+00""","=""-0.930""",,"=""1.72635573""","=""3.005877""","=""7p""","=""2P*""","=""3/2""","=""7d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
