Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""5f13.7s2""","=""2F*""","=""7/2""",8,"=""""","=""0""","=""""","=""0""","=""L16359"""
"=""Md II (5f13.7s 3F*<4>)""","=""Limit""","=""---""",,"=""[""","=""53100""","=""]""","=""600""","=""L16359"""
