Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3s2.3p3.(2D*<3/2>).13f""","=""""","=""""",56,"=""""","=""97761.6""","=""""","=""2.0""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).15s""","=""3D*""","=""2""",4,"=""""","=""97778""","=""u""","=""8""","=""""","=""  62                             :    37  3s2.3p3.(2D*).15s 1D*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).15s""","=""3D*""","=""1""",2,"=""""","=""97778""","=""u""","=""6""","=""""","=""  99                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).15s""","=""3D*""","=""3""",6,"=""""","=""97778""","=""u""","=""4""","=""""","="" 100                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*<5/2>).13f""","=""""","=""""",192,"=""""","=""97794.0""","=""""","=""2.0""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*<3/2>).14f""","=""""","=""""",56,"=""""","=""97851.4""","=""""","=""2.0""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).16s""","=""3D*""","=""3""",6,"=""""","=""97868""","=""u""","=""3""","=""""","="" 100                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).16s""","=""3D*""","=""1""",2,"=""""","=""97868""","=""u""","=""4""","=""""","="" 100                                                             ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).16s""","=""3D*""","=""2""",4,"=""""","=""97868""","=""u""","=""4""","=""""","=""  61                             :    37  3s2.3p3.(2D*).16s 1D*  ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*<5/2>).14f""","=""""","=""""",192,"=""""","=""97885.0""","=""""","=""2.0""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*<3/2>).15f""","=""""","=""""",56,"=""[""","=""97925""","=""]""","=""4""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).17s""","=""3D*""","=""1""",2,"=""""","=""97940""","=""u""","=""10""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).17s""","=""3D*""","=""2""",4,"=""""","=""97940""","=""u""","=""9""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).17s""","=""3D*""","=""3""",6,"=""""","=""97940""","=""u""","=""4""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*<5/2>).15f""","=""""","=""""",192,"=""""","=""97956.8""","=""""","=""2.0""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*<3/2>).16f""","=""""","=""""",56,"=""""","=""97985.5""","=""""","=""2.0""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).18s""","=""3D*""","=""2""",4,"=""""","=""98000""","=""u""","=""9""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).18s""","=""3D*""","=""1""",2,"=""""","=""98000""","=""u""","=""10""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).18s""","=""3D*""","=""3""",6,"=""""","=""98000""","=""u""","=""4""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*<5/2>).16f""","=""""","=""""",192,"=""""","=""98017.0""","=""""","=""2.0""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*<3/2>).17f""","=""""","=""""",56,"=""""","=""98034.3""","=""""","=""2.0""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).19s""","=""3D*""","=""1""",2,"=""""","=""98052""","=""u""","=""10""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).19s""","=""3D*""","=""3""",6,"=""""","=""98052""","=""u""","=""4""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).19s""","=""3D*""","=""2""",4,"=""""","=""98052""","=""u""","=""9""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*<5/2>).17f""","=""""","=""""",192,"=""""","=""98065.9""","=""""","=""2.0""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*<3/2>).18f""","=""""","=""""",56,"=""""","=""98074.5""","=""""","=""2.0""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).20s""","=""3D*""","=""1""",2,"=""""","=""98092""","=""""","=""4""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).20s""","=""3D*""","=""3""",6,"=""""","=""98093""","=""u""","=""4""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).20s""","=""3D*""","=""2""",4,"=""""","=""98093""","=""u""","=""7""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*<5/2>).18f""","=""""","=""""",192,"=""""","=""98106.2""","=""""","=""2.0""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).21s""","=""3D*""","=""3""",6,"=""""","=""98127""","=""u""","=""4""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).21s""","=""3D*""","=""2""",4,"=""""","=""98127""","=""u""","=""9""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).21s""","=""3D*""","=""1""",2,"=""""","=""98127""","=""u""","=""4""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).22s""","=""3D*""","=""1""",2,"=""""","=""98155""","=""u""","=""10""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).22s""","=""3D*""","=""2""",4,"=""""","=""98155""","=""u""","=""9""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""3s2.3p3.(2D*).22s""","=""3D*""","=""3""",6,"=""""","=""98155""","=""u""","=""4""","=""""","=""                                                                 ""","=""L23116,L7237"""
"=""S II (3p3 2D*<3/2>)""","=""Limit""","=""---""",,"=""""","=""98412.15""","=""""","=""0.05""","=""""","=""                                                                 ""","=""L23116"""
