Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""6d4.7s2""","=""""","=""0""",1,"=""""","=""0""","=""""","=""0""","=""L7830"""
"=""Sg II (6d3.7s2 4F<3/2>)""","=""Limit""","=""---""",,"=""[""","=""63000""","=""]""","=""4000""","=""L7830"""
