Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""6d3.7s2""","=""4F""","=""3/2""",4,"=""""","=""0""","=""""","=""0""","=""L12825"""
"=""Db II (6d2.7s2 3F<2>)""","=""Limit""","=""---""",,"=""(""","=""55000""","="")""","=""4000""","=""L12825"""
