obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""155.332""","=""0.002""","=""155.3321""","=""0.0020""","=""g,a""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.98188""","=""3d.4s2""","=""2D""","=""3/2""","=""4s2.20f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L2110""",
"=""155.405""","=""0.002""","=""155.4052""","=""0.0016""","=""g,a""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.97812""","=""3d.4s2""","=""2D""","=""3/2""","=""4s2.19f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L2110""",
"=""155.491""","=""0.002""","=""155.4910""","=""0.0016""","=""g,a""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.97372""","=""3d.4s2""","=""2D""","=""3/2""","=""4s2.18f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L2110""",
"=""155.576""","=""0.002""","=""155.576""","=""0.003""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.99024""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.23f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L2110""",
"=""155.576""","=""0.002""","=""155.576""","=""0.003""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.99024""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.23f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L2110""",
"=""155.590""","=""0.002""","=""155.5904""","=""0.0016""","=""g,a""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.96863""","=""3d.4s2""","=""2D""","=""3/2""","=""4s2.17f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L2110""",
"=""155.622""","=""0.002""","=""155.622""","=""0.003""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.98788""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.22f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L2110""",
"=""155.622""","=""0.002""","=""155.622""","=""0.003""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.98788""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.22f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L2110""",
"=""155.675""","=""0.002""","=""155.675""","=""0.003""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.98517""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.21f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L2110""",
"=""155.675""","=""0.002""","=""155.675""","=""0.003""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.98517""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.21f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L2110""",
"=""155.813""","=""0.002""","=""155.8128""","=""0.0016""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.97812""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.19f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L2110""",
"=""155.813""","=""0.002""","=""155.813""","=""0.003""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.97811""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.19f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L2110""",
"=""155.862""","=""0.002""","=""155.8608""","=""0.0017""","=""g,a""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.95480""","=""3d.4s2""","=""2D""","=""3/2""","=""4s2.15f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L2110""",
"=""155.899""","=""0.002""","=""155.899""","=""0.003""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.97372""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.18f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L2110""",
"=""155.899""","=""0.002""","=""155.8991""","=""0.0016""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.97372""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.18f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L2110""",
"=""156.000""","=""0.002""","=""155.9990""","=""0.0016""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.96863""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.17f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L2110""",
"=""156.000""","=""0.002""","=""156.000""","=""0.003""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.96858""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.17f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L2110""",
"=""156.039""","=""0.002""","=""156.0396""","=""0.0016""","=""g,a""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.94569""","=""3d.4s2""","=""2D""","=""3/2""","=""4s2.14f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L2110""",
"=""156.267""","=""0.002""","=""156.2644""","=""0.0022""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""7.93426""","=""3d.4s2""","=""2D""","=""3/2""","=""4s2.13f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L2110""",
"=""156.267""","=""0.002""","=""156.267""","=""0.003""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.95500""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.15f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L2110""",
"=""156.267""","=""0.002""","=""156.2708""","=""0.0017""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.95480""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.15f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L2110""",
"=""156.452""","=""0.002""","=""156.4505""","=""0.0016""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.94569""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.14f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L2110""",
"=""156.452""","=""0.002""","=""156.452""","=""0.003""","=""g,a*""","=""""","=""""","=""""","=""""",,"=""0.0208711""","=""7.94561""","=""3d.4s2""","=""2D""","=""5/2""","=""4s2.14f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L2110""",
