obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""""","=""571.472""","=""""","=""8.94e+04""","=""2.19e-04""","=""1.65e-02""","=""-3.058""",D+,"=""11.9955753""","=""14.16513""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6d""","=""4P""","=""1/2""",4,2,,"=""T5723LS""","=""""",
"=""""","=""573.093""","=""""","=""8.87e+04""","=""4.37e-04""","=""3.30e-02""","=""-2.758""",D+,"=""11.9955753""","=""14.15900""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6d""","=""4P""","=""3/2""",4,4,,"=""T5723LS""","=""""",
"=""""","=""573.370""","=""""","=""8.85e+04""","=""6.54e-04""","=""4.94e-02""","=""-2.582""",D+,"=""11.9955753""","=""14.15795""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6d""","=""4P""","=""5/2""",4,6,,"=""T5723LS""","=""""",
"=""""","=""573.5995""","=""""","=""4.47e+05""","=""4.41e-03""","=""1.67e-01""","=""-2.055""",C,"=""11.8374298""","=""13.9989413""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",2,4,,"=""u18,LS""","=""""",
"=""""","=""573.750""","=""""","=""8.94e+05""","=""4.41e-03""","=""1.67e-01""","=""-2.054""",C,"=""11.8374298""","=""13.99837""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""1/2""",2,2,,"=""u18,LS""","=""""",
"=""""","=""574.1537""","=""""","=""7.49e+05""","=""5.55e-03""","=""4.20e-01""","=""-1.653""",C,"=""11.8397086""","=""13.9991340""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""5/2""",4,6,,"=""u18,LS""","=""""",
"=""""","=""574.2049""","=""""","=""5.71e+05""","=""2.82e-03""","=""2.13e-01""","=""-1.947""",C,"=""11.8397086""","=""13.9989413""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",4,4,,"=""u18,LS""","=""""",
"=""""","=""574.356""","=""""","=""1.78e+05""","=""4.40e-04""","=""3.33e-02""","=""-2.754""",C,"=""11.8397086""","=""13.99837""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""1/2""",4,2,,"=""u18,LS""","=""""",
"=""""","=""574.8552""","=""""","=""2.21e+05""","=""1.64e-03""","=""1.24e-01""","=""-2.182""",D+,"=""11.9955753""","=""14.1523654""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).7s""","=""4P""","=""5/2""",4,6,,"=""T5723LS""","=""""",
"=""575.410""","=""575.4095""","=""700""","=""1.06e+06""","=""7.02e-03""","=""7.97e-01""","=""-1.376""",C,"=""11.8444770""","=""13.9991896""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""7/2""",6,8,,"=""u18,LS""","=""L3513""",
"=""""","=""575.4243""","=""""","=""3.19e+05""","=""1.58e-03""","=""1.80e-01""","=""-2.022""",C,"=""11.8444770""","=""13.9991340""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""5/2""",6,6,,"=""u18,LS""","=""""",
"=""""","=""575.4758""","=""""","=""5.31e+04""","=""1.76e-04""","=""2.00e-02""","=""-2.977""",C,"=""11.8444770""","=""13.9989413""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",6,4,,"=""u18,LS""","=""""",
"=""576.635""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3513""",
"=""""","=""577.3568""","=""""","=""2.18e+05""","=""1.09e-03""","=""8.28e-02""","=""-2.361""",D+,"=""11.9955753""","=""14.1430205""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).7s""","=""4P""","=""3/2""",4,4,,"=""T5723LS""","=""""",
"=""""","=""578.8439""","=""""","=""2.16e+05""","=""5.43e-04""","=""4.14e-02""","=""-2.664""",D+,"=""11.9955753""","=""14.1375033""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).7s""","=""4P""","=""1/2""",4,2,,"=""T5723LS""","=""""",
"=""583.116""","=""""","=""265""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3513""",
"=""585.566""","=""""","=""235""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3513""",
"=""600.109""","=""600.1092""","=""160""","=""3.64e+06""","=""1.97e-02""","=""7.77e-01""","=""-1.406""",C+,"=""11.6026335""","=""13.6686606""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).4d""","=""2P""","=""1/2""",2,2,,"=""T6340""","=""L3513""",
"=""601.013""","=""601.0137""","=""210""","=""3.58e+06""","=""3.88e-02""","=""1.53e+00""","=""-1.110""",C+,"=""11.6026335""","=""13.6655516""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).4d""","=""2P""","=""3/2""",2,4,,"=""T6340""","=""L3513""",
"=""""","=""610.5065""","=""""","=""2.1e-04""","=""2.3e-12""","=""7.1e-06""","=""-11.3""",D,"=""10.3259087""","=""12.3567502""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",2,4,M1,"=""T7370""","=""""",
"=""""","=""611.7674""","=""""","=""8.1e-04""","=""4.5e-12""","=""2.8e-05""","=""-10.7""",D,"=""10.3300944""","=""12.3567502""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",4,4,M1,"=""T7370""","=""""",
"=""""","=""611.7855""","=""""","=""4.4e-04""","=""3.7e-12""","=""2.2e-05""","=""-10.8""",D,"=""10.3300944""","=""12.3566901""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",4,6,M1,"=""T7370""","=""""",
"=""""","=""613.5418""","=""""","=""2.2e-03""","=""1.2e-11""","=""1.1e-04""","=""-10.1""",D,"=""10.3358956""","=""12.3566901""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",6,6,M1,"=""T7370""","=""""",
"=""""","=""618.8835""","=""""","=""9.02e+03""","=""7.77e-05""","=""6.33e-03""","=""-3.508""",D+,"=""12.0001429""","=""14.0034956""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""5/2""",4,6,,"=""u18,LS""","=""""",
"=""""","=""619.6027""","=""""","=""1.21e+05""","=""6.96e-04""","=""5.68e-02""","=""-2.555""",C,"=""12.0001429""","=""14.0011704""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""3/2""",4,4,,"=""u18,LS""","=""""",
"=""""","=""620.369""","=""""","=""2.80e+05""","=""8.08e-04""","=""6.60e-02""","=""-2.491""",D+,"=""11.9955753""","=""13.994130""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""1/2""",4,2,,"=""T5723LS""","=""""",
"=""""","=""621.613""","=""""","=""2.78e+05""","=""1.61e-03""","=""1.32e-01""","=""-2.191""",D+,"=""11.9955753""","=""13.990131""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""3/2""",4,4,,"=""T5723LS""","=""""",
"=""""","=""621.8225""","=""""","=""1.25e+05""","=""7.25e-04""","=""8.90e-02""","=""-2.362""",C,"=""12.0096116""","=""14.0034956""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""5/2""",6,6,,"=""u18,LS""","=""""",
"=""""","=""622.1374""","=""""","=""2.77e+05""","=""2.41e-03""","=""1.98e-01""","=""-2.016""",D+,"=""11.9955753""","=""13.9884501""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4P""","=""5/2""",4,6,,"=""T5723LS""","=""""",
"=""""","=""622.5485""","=""""","=""1.33e+04""","=""5.15e-05""","=""6.34e-03""","=""-3.510""",D+,"=""12.0096116""","=""14.0011704""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""3/2""",6,4,,"=""u18,LS""","=""""",
"=""""","=""623.9398""","=""""","=""2.81e+05""","=""2.19e-03""","=""2.69e-01""","=""-1.882""",C,"=""12.0096116""","=""13.9967297""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""2F""","=""7/2""",6,8,,"=""u18,LS""","=""""",
"=""""","=""624.0313""","=""""","=""2.62e+05""","=""2.29e-03""","=""1.89e-01""","=""-2.037""",C,"=""12.0001429""","=""13.9869696""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2F""","=""5/2""",4,6,,"=""u18,LS""","=""""",
"=""""","=""627.0195""","=""""","=""1.85e+04""","=""1.09e-04""","=""1.35e-02""","=""-3.184""",C,"=""12.0096116""","=""13.9869696""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""2F""","=""5/2""",6,6,,"=""u18,LS""","=""""",
"=""""","=""627.7248""","=""""","=""3.75e+05""","=""3.32e-03""","=""2.75e-01""","=""-1.876""",D+,"=""11.9955753""","=""13.9707117""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6s""","=""4P""","=""5/2""",4,6,,"=""T5723LS""","=""""",
"=""""","=""630.5658""","=""""","=""3.70e+05""","=""2.21e-03""","=""1.83e-01""","=""-2.054""",D+,"=""11.9955753""","=""13.9618125""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6s""","=""4P""","=""3/2""",4,4,,"=""T5723LS""","=""""",
"=""""","=""632.3259""","=""""","=""3.67e+05""","=""1.10e-03""","=""9.16e-02""","=""-2.357""",D+,"=""11.9955753""","=""13.9563396""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6s""","=""4P""","=""1/2""",4,2,,"=""T5723LS""","=""""",
"=""""","=""640.0171""","=""""","=""3.95e+05""","=""4.85e-03""","=""2.04e-01""","=""-2.013""",C,"=""11.7500916""","=""13.6872930""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""3/2""",2,4,,"=""u18,LS""","=""""",
"=""""","=""640.4133""","=""""","=""7.89e+05""","=""4.85e-03""","=""2.05e-01""","=""-2.013""",C,"=""11.7500916""","=""13.6860943""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""1/2""",2,2,,"=""u18,LS""","=""""",
"=""""","=""640.7026""","=""""","=""3.68e+05""","=""3.40e-03""","=""2.87e-01""","=""-1.867""",C,"=""11.7528949""","=""13.6880236""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""5/2""",4,6,,"=""u18,LS""","=""""",
"=""""","=""640.9446""","=""""","=""6.30e+05""","=""3.88e-03""","=""3.27e-01""","=""-1.809""",C,"=""11.7528949""","=""13.6872930""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""3/2""",4,4,,"=""u18,LS""","=""""",
"=""641.342""","=""641.3420""","=""185""","=""7.86e+05""","=""2.42e-03""","=""2.05e-01""","=""-2.014""",C,"=""11.7528949""","=""13.6860943""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""1/2""",4,2,,"=""u18,LS""","=""L3513""",
"=""""","=""642.1647""","=""""","=""2.23e+05""","=""1.84e-03""","=""2.33e-01""","=""-1.957""",C,"=""11.7575319""","=""13.6882547""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""7/2""",6,8,,"=""u18,LS""","=""""",
"=""642.241""","=""642.2415""","=""210""","=""8.97e+05""","=""5.55e-03""","=""7.04e-01""","=""-1.478""",C,"=""11.7575319""","=""13.6880236""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""5/2""",6,6,,"=""u18,LS""","=""L3513""",
"=""642.480""","=""642.4847""","=""210""","=""5.47e+05""","=""2.26e-03""","=""2.86e-01""","=""-1.868""",C,"=""11.7575319""","=""13.6872930""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""3/2""",6,4,,"=""u18,LS""","=""L3513""",
"=""643.010""","=""""","=""210""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3513""",
"=""643.946""","=""""","=""185""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3513""",
"=""644.272""","=""644.2718""","=""235""","=""1.33e+06""","=""8.28e-03""","=""1.40e+00""","=""-1.179""",C,"=""11.7638464""","=""13.6882547""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""7/2""",8,8,,"=""u18,LS""","=""L3513""",
"=""""","=""644.3492""","=""""","=""2.94e+05""","=""1.37e-03""","=""2.33e-01""","=""-1.959""",C,"=""11.7638464""","=""13.6880236""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""5/2""",8,6,,"=""u18,LS""","=""""",
"=""645.968""","=""""","=""185""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3513""",
"=""647.023""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3513""",
"=""648.350""","=""648.3497""","=""265""","=""3.43e+06""","=""4.32e-02""","=""1.85e+00""","=""-1.063""",C,"=""11.7500916""","=""13.6623958""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""3/2""",2,4,,"=""u18,LS""","=""L3513""",
"=""648.449""","=""648.4490""","=""360""","=""4.90e+06""","=""3.86e-02""","=""6.59e+00""","=""-0.510""",C,"=""11.7638464""","=""13.6758579""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""9/2""",8,10,,"=""u18,LS""","=""L3513""",
"=""648.554""","=""648.5544""","=""300""","=""3.67e+06""","=""3.47e-02""","=""2.96e+00""","=""-0.857""",C,"=""11.7528949""","=""13.6645956""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""5/2""",4,6,,"=""u18,LS""","=""L3513""",
"=""648.659""","=""648.6600""","=""325""","=""4.20e+06""","=""3.53e-02""","=""4.53e+00""","=""-0.674""",C,"=""11.7575319""","=""13.6689216""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""7/2""",6,8,,"=""u18,LS""","=""L3513""",
"=""649.301""","=""649.3016""","=""160""","=""1.37e+06""","=""8.66e-03""","=""7.40e-01""","=""-1.460""",C,"=""11.7528949""","=""13.6623958""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""3/2""",4,4,,"=""u18,LS""","=""L3513""",
"=""650.134""","=""650.1314""","=""210""","=""1.18e+06""","=""7.48e-03""","=""9.60e-01""","=""-1.348""",C,"=""11.7575319""","=""13.6645956""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""5/2""",6,6,,"=""u18,LS""","=""L3513""",
"=""650.811""","=""650.8100""","=""185""","=""6.91e+05""","=""4.39e-03""","=""7.52e-01""","=""-1.455""",C,"=""11.7638464""","=""13.6689216""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""7/2""",8,8,,"=""u18,LS""","=""L3513""",
"=""""","=""650.8822""","=""""","=""9.70e+04""","=""4.11e-04""","=""5.28e-02""","=""-2.608""",C,"=""11.7575319""","=""13.6623958""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""3/2""",6,4,,"=""u18,LS""","=""""",
"=""""","=""652.2912""","=""""","=""4.66e+04""","=""2.23e-04""","=""3.83e-02""","=""-2.749""",C,"=""11.7638464""","=""13.6645956""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""5/2""",8,6,,"=""u18,LS""","=""""",
"=""""","=""659.7666""","=""""","=""9.08e+04""","=""1.19e-03""","=""5.15e-02""","=""-2.625""",C,"=""12.1219574""","=""14.0011704""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""3/2""",2,4,,"=""u18,LS""","=""""",
"=""""","=""660.5033""","=""""","=""1.09e+05""","=""1.07e-03""","=""9.30e-02""","=""-2.369""",C,"=""12.1263787""","=""14.0034956""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""5/2""",4,6,,"=""u18,LS""","=""""",
"=""""","=""660.8000""","=""""","=""8.87e+04""","=""8.71e-04""","=""7.58e-02""","=""-2.458""",D+,"=""11.7528949""","=""13.6291690""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",4,6,,"=""u18,LS""","=""""",
"=""""","=""661.3225""","=""""","=""1.80e+04""","=""1.18e-04""","=""1.03e-02""","=""-3.326""",C,"=""12.1263787""","=""14.0011704""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""2D""","=""3/2""",4,4,,"=""u18,LS""","=""""",
"=""662.437""","=""662.4372""","=""185""","=""7.93e+05""","=""5.22e-03""","=""6.83e-01""","=""-1.504""",D+,"=""11.7575319""","=""13.6291690""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",6,6,,"=""u18,LS""","=""L3513""",
"=""""","=""662.8821""","=""""","=""2.20e+05""","=""2.90e-03""","=""1.27e-01""","=""-2.237""",D+,"=""11.7500916""","=""13.6204726""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",2,4,,"=""u18,LS""","=""""",
"=""663.877""","=""663.8771""","=""185""","=""1.40e+06""","=""9.25e-03""","=""8.09e-01""","=""-1.432""",D+,"=""11.7528949""","=""13.6204726""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",4,4,,"=""u18,LS""","=""L3513""",
"=""664.679""","=""664.6797""","=""235""","=""3.49e+06""","=""1.73e-02""","=""3.03e+00""","=""-0.858""",D+,"=""11.7638464""","=""13.6291690""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",8,6,,"=""u18,LS""","=""L3513""",
"=""664.834""","=""664.8338""","=""185""","=""2.18e+06""","=""1.44e-02""","=""6.32e-01""","=""-1.539""",D+,"=""11.7500916""","=""13.6149817""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",2,2,,"=""u18,LS""","=""L3513""",
