obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""937.72357""","=""0.00011""","=""937.723474""","=""0.000007""","=""31""","=""""","=""""","=""""","=""""",,"=""1.622774763""","=""2.944957708""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L5951""",
"=""937.93571""","=""0.00011""","=""937.93567""","=""0.00003""","=""32""","=""""","=""""","=""""","=""""",,"=""2.634986930""","=""3.95687075""","=""""","=""*""","=""2""","=""""","=""""","=""1""",5,3,,"=""""","=""L5951""",
"=""938.23018""","=""0.00005""","=""938.230202""","=""0.000020""","=""82""","=""""","=""""","=""""","=""""",,"=""2.695174721""","=""4.01664357""","=""5f.6d2.7s""","=""5G*""","=""2""","=""6d4""","=""3P1""","=""2""",5,5,,"=""""","=""L5951""",
"=""938.32171""","=""0.00008""","=""938.321696""","=""0.000004""","=""46""","=""""","=""""","=""""","=""""",,"=""0.6151672932""","=""1.936507287""","=""6d2.7s2""","=""3F""","=""4""","=""5f.6d2.7s""","=""5H*""","=""3""",9,7,,"=""""","=""L5951""",
"=""938.56837""","=""0.00007""","=""938.568599""","=""0.000015""","=""52""","=""""","=""""","=""""","=""""",,"=""2.745209091""","=""4.06620149""","=""""","=""*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L5951""",
"=""938.584608""","=""0.000004""","=""938.584606""","=""0.000003""","=""3900""","=""""","=""""","=""""","=""""",,"=""0.6897416420""","=""2.010711511""","=""6d3.(4F).7s""","=""5F""","=""1""","=""6d.7s2.7p""","=""1D*""","=""2""",3,5,,"=""""","=""L18702""",
"=""938.66738""","=""0.00008""","=""938.667456""","=""0.000015""","=""51""","=""""","=""""","=""""","=""""",,"=""1.763900930""","=""3.084754205""","=""6d3.(2P).7s""","=""""","=""0""","=""""","=""*""","=""1""",1,3,,"=""""","=""L5951""",
"=""939.150630""","=""0.000011""","=""939.150630""","=""0.000004""","=""1300""","=""""","=""""","=""""","=""""",,"=""1.438344449""","=""2.758518172""","=""6d3.(4P).7s""","=""5P""","=""1""","=""""","=""*""","=""2""",3,5,,"=""""","=""L5951""",
"=""939.316115""","=""0.000015""","=""939.316105""","=""0.000009""","=""660""","=""""","=""""","=""""","=""""",,"=""1.761104381""","=""3.081045536""","=""6d3.(2G).7s""","=""""","=""5""","=""""","=""3I*""","=""6""",11,13,,"=""""","=""L5951""",
"=""939.32934""","=""0.00010""","=""939.32918""","=""0.00004""","=""37""","=""""","=""""","=""""","=""""",,"=""2.79161383""","=""4.11153661""","=""6d4""","=""5D""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L5951""",
"=""939.48409""","=""0.00005""","=""939.484081""","=""0.000010""","=""86""","=""""","=""""","=""""","=""""",,"=""1.966871474""","=""3.286576628""","=""6d3.(2D2).7s""","=""""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L5951""",
"=""939.92443""","=""0.00008""","=""939.924388""","=""0.000020""","=""44""","=""""","=""""","=""""","=""""",,"=""2.810708039""","=""4.12979498""","=""""","=""*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L5951""",
"=""940.1667279""","=""0.0000018""","=""940.1667255""","=""0.0000018""","=""43000""","=""""","=""""","=""""","=""""",,"=""0.966490959""","=""2.285237890""","=""5f.6d.7s2""","=""3H*""","=""4""","=""5f.7s2.7p""","=""3G""","=""3""",9,7,,"=""""","=""L18702""",
"=""940.49973""","=""0.00007""","=""940.499810""","=""0.000004""","=""54""","=""""","=""""","=""""","=""""",,"=""1.739756853""","=""3.058036741""","=""6d.7s2.7p""","=""3D*""","=""2""","=""5f.6d.7s.7p""","=""5F""","=""3""",5,7,,"=""""","=""L5951""",
"=""940.77775""","=""0.00010""","=""940.777779""","=""0.000011""","=""35""","=""""","=""""","=""""","=""""",,"=""2.418081613""","=""3.735971992""","=""6d2.7s.7p""","=""5F*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L5951""",
"=""940.78555""","=""0.00006""","=""940.785596""","=""0.000015""","=""68""","=""""","=""""","=""""","=""""",,"=""2.226743183""","=""3.544622612""","=""6d3.(4F).7s""","=""3F""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L5951""",
"=""940.94727""","=""0.00007""","=""940.947297""","=""0.000016""","=""63""","=""""","=""""","=""""","=""""",,"=""2.421710998""","=""3.73936395""","=""6d3.(2F).7s""","=""3F""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L5951""",
"=""941.192984""","=""0.000009""","=""941.192991""","=""0.000005""","=""1800""","=""""","=""""","=""""","=""""",,"=""2.026726250""","=""3.344035236""","=""5f.6d2.7s""","=""5H*""","=""4""","=""""","=""""","=""4""",9,9,,"=""""","=""L5951""",
"=""941.32745""","=""0.00010""","=""941.327454""","=""0.000019""","=""36""","=""""","=""""","=""""","=""""",,"=""2.302958156""","=""3.62007897""","=""6d3.(2P).7s""","=""""","=""1""","=""""","=""*""","=""2""",3,5,,"=""""","=""L5951""",
"=""941.62583""","=""0.00004""","=""941.625849""","=""0.000019""","=""120""","=""""","=""""","=""""","=""""",,"=""3.121927628""","=""4.43863106""","=""5f.6d2.7s""","=""*""","=""7""","=""5f.6d.7s.7p""","=""3I""","=""6""",15,13,,"=""""","=""L5951""",
"=""941.667087""","=""0.000021""","=""941.667085""","=""0.000005""","=""360""","=""""","=""""","=""""","=""""",,"=""1.648671592""","=""2.965317362""","=""6d3.(2G).7s""","=""3G""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L5951""",
"=""942.00403""","=""0.00004""","=""942.004032""","=""0.000011""","=""110""","=""""","=""""","=""""","=""""",,"=""2.419797174""","=""3.735971992""","=""6d2.7s.7p""","=""5D*""","=""2""","=""""","=""""","=""2""",5,5,,"=""""","=""L5951""",
"=""942.32043""","=""0.00004""","=""942.320450""","=""0.000012""","=""150""","=""""","=""""","=""""","=""""",,"=""1.763900930""","=""3.079633793""","=""6d3.(2P).7s""","=""""","=""0""","=""""","=""*""","=""1""",1,3,,"=""""","=""L5951""",
"=""942.48983""","=""0.00008""","=""942.489836""","=""0.000010""","=""49""","=""""","=""""","=""""","=""""",,"=""2.240278611""","=""3.555775009""","=""6d.7s2.7p""","=""1F*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L5951""",
"=""942.55178""","=""0.00009""","=""942.551811""","=""0.000012""","=""40""","=""""","=""""","=""""","=""""",,"=""2.624137715""","=""3.939547616""","=""5f.6d.7s2""","=""3D*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L5951""",
"=""942.64288""","=""0.00009""","=""942.642856""","=""0.000015""","=""41""","=""""","=""""","=""""","=""""",,"=""2.299833145""","=""3.615115998""","=""6d3.(4P).7s""","=""""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L5951""",
"=""943.35039""","=""0.00008""","=""943.350299""","=""0.000018""","=""48""","=""""","=""""","=""""","=""""",,"=""2.116882543""","=""3.43117903""","=""6d3.(4P).7s""","=""""","=""1""","=""""","=""*""","=""2""",3,5,,"=""""","=""L5951""",
"=""943.418639""","=""0.000004""","=""943.418646""","=""0.000003""","=""3400""","=""""","=""""","=""""","=""""",,"=""0.4792576672""","=""1.793458939""","=""6d2.7s2""","=""3P""","=""1""","=""6d2.7s.7p""","=""5G*""","=""2""",3,5,,"=""""","=""L18702""",
"=""943.51711""","=""0.00008""","=""943.51709""","=""0.00003""","=""46""","=""""","=""""","=""""","=""""",,"=""3.009680634""","=""4.32374478""","=""""","=""*""","=""5""","=""""","=""""","=""4""",11,9,,"=""""","=""L5951""",
"=""943.77110""","=""0.00008""","=""943.771118""","=""0.000011""","=""49""","=""""","=""""","=""""","=""""",,"=""1.739756853""","=""3.053467308""","=""6d.7s2.7p""","=""3D*""","=""2""","=""6d3.(2D1).7s""","=""3D""","=""1""",5,3,,"=""""","=""L5951""",
"=""943.94011""","=""0.00003""","=""943.940094""","=""0.000004""","=""340""","=""""","=""""","=""""","=""""",,"=""1.463377110""","=""2.776852395""","=""6d3.(4P).7s""","=""5P""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L5951""",
"=""944.42177""","=""0.00009""","=""944.421837""","=""0.000020""","=""41""","=""""","=""""","=""""","=""""",,"=""2.739826117""","=""4.05263141""","=""5f.6d.7s.7p""","=""5I""","=""4""","=""5f.6d3""","=""5I*""","=""5""",9,11,,"=""""","=""L5951""",
"=""944.45581""","=""0.00007""","=""944.455814""","=""0.000021""","=""59""","=""""","=""""","=""""","=""""",,"=""3.045256708""","=""4.35801477""","=""""","=""*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L5951""",
"=""944.95803""","=""0.00005""","=""944.95803""","=""0.00003""","=""81""","=""""","=""""","=""""","=""""",,"=""2.302958156""","=""3.61501853""","=""6d3.(2P).7s""","=""""","=""1""","=""""","=""*""","=""1""",3,3,,"=""""","=""L5951""",
"=""945.30529""","=""0.00004""","=""945.305291""","=""0.000005""","=""110""","=""""","=""""","=""""","=""""",,"=""2.010711511""","=""3.322289894""","=""6d.7s2.7p""","=""1D*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L5951""",
"=""945.77957""","=""0.00003""","=""945.779570""","=""0.000009""","=""320""","=""""","=""""","=""""","=""""",,"=""1.716904709""","=""3.027825377""","=""6d3.(4F).7s""","=""3F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L5951""",
"=""946.12198""","=""0.00004""","=""946.122000""","=""0.000007""","=""120""","=""""","=""""","=""""","=""""",,"=""2.158716703""","=""3.469162908""","=""6d.7s2.7p""","=""3D*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L5951""",
"=""946.346715""","=""0.000015""","=""946.346480""","=""0.000004""","=""550bl""","=""""","=""""","=""""","=""""",,"=""0.902620242""","=""2.212755599""","=""6d2.7s2""","=""""","=""2""","=""5f.6d.7s2""","=""3P*""","=""2""",5,5,,"=""""","=""L18702""",
"=""946.3622721""","=""0.0000018""","=""946.3622746""","=""0.0000018""","=""9700""","=""""","=""""","=""""","=""""",,"=""0.9301651190""","=""2.240278611""","=""6d3.(4F).7s""","=""5F""","=""3""","=""6d.7s2.7p""","=""1F*""","=""3""",7,7,,"=""""","=""L18702""",
"=""946.380184""","=""0.000012""","=""946.380211""","=""0.000005""","=""1000""","=""""","=""""","=""""","=""""",,"=""1.622774763""","=""2.932863424""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""4""",7,9,,"=""""","=""L5951""",
"=""946.44902""","=""0.00009""","=""946.44903""","=""0.00003""","=""43""","=""""","=""""","=""""","=""""",,"=""2.677398258""","=""3.98739166""","=""6d3.(2F).7s""","=""1F""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L5951""",
"=""946.979208""","=""0.000004""","=""946.979209""","=""0.000004""","=""4800""","=""""","=""""","=""""","=""""",,"=""2.080931827""","=""3.390191811""","=""5f.6d2.7s""","=""5I*""","=""4""","=""5f.6d.7s.7p""","=""5H""","=""3""",9,7,,"=""""","=""L18702""",
"=""947.327945""","=""0.000003""","=""947.327945""","=""0.000003""","=""6800""","=""""","=""""","=""""","=""""",,"=""0.4572521355""","=""1.766030147""","=""6d2.7s2""","=""""","=""2""","=""5f.6d.7s2""","=""3P*""","=""1""",5,3,,"=""""","=""L18702""",
"=""947.38930""","=""0.00010""","=""947.389322""","=""0.000005""","=""37""","=""""","=""""","=""""","=""""",,"=""1.920914392""","=""3.229607614""","=""6d3.(2H).7s""","=""3H""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L5951""",
"=""947.7477997""","=""0.0000018""","=""947.7478007""","=""0.0000018""","=""18000""","=""""","=""""","=""""","=""""",,"=""0.9301651190""","=""2.238363337""","=""6d3.(4F).7s""","=""5F""","=""3""","=""6d.7s2.7p""","=""3F*""","=""4""",7,9,,"=""""","=""L18702""",
"=""947.75203""","=""0.00006""","=""947.751902""","=""0.000007""","=""180""","=""""","=""""","=""""","=""""",,"=""2.233126549""","=""3.541319107""","=""5f.6d2.7s""","=""5H*""","=""5""","=""""","=""""","=""4""",11,9,,"=""""","=""L14361""",
"=""948.48497""","=""0.00004""","=""948.484949""","=""0.000010""","=""150""","=""""","=""""","=""""","=""""",,"=""1.920914392""","=""3.228095898""","=""6d3.(2H).7s""","=""3H""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L5951""",
"=""948.48925""","=""0.00003""","=""948.489268""","=""0.000010""","=""230""","=""""","=""""","=""""","=""""",,"=""2.506331889""","=""3.813507442""","=""6d2.7s.7p""","=""5D*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L5951""",
