Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""7s2""","=""1S""","=""0""",1,"=""""","=""0""","=""""","=""0""","=""L16359"""
"=""No II (5f14.7s 2S<1/2>)""","=""Limit""","=""---""",,"=""""","=""53444.0""","=""""","=""0.4""","=""L20870"""
