obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""""","=""878.995""","=""""","=""9.1e-06""","=""1.6e-13""","=""1.4e-06""","=""-12.20""",C,"=""0.000000""","=""1.410522""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2D*""","=""5/2""",4,6,M1,"=""T761""","=""""",
"=""""","=""878.995""","=""""","=""1.9e-04""","=""3.3e-12""","=""5.3e-02""","=""-10.88""",D,"=""0.000000""","=""1.410522""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2D*""","=""5/2""",4,6,E2,"=""T761""","=""""",
"=""""","=""880.203""","=""""","=""1.77e-04""","=""2.06e-12""","=""1.79e-05""","=""-11.085""",C,"=""0.000000""","=""1.408587""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2D*""","=""3/2""",4,4,M1,"=""T761""","=""""",
"=""""","=""880.203""","=""""","=""1.2e-04""","=""1.4e-12""","=""2.3e-02""","=""-11.25""",D,"=""0.000000""","=""1.408587""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2D*""","=""3/2""",4,4,E2,"=""T761""","=""""",
"=""887.4610""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""915.585""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""917.8337""","=""917.8331""","=""180""","=""5.0e+06""","=""1.3e-01""","=""7.6e+00""","=""-0.60""",D,"=""6.9356043""","=""8.2864403""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",2,4,,"=""T1619CA,LS""","=""L5148""",
"=""919.637""","=""""","=""950""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""928.143""","=""""","=""600""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""930.749""","=""930.7501""","=""1250""","=""9.6e+06""","=""1.2e-01""","=""1.5e+01""","=""-0.30""",D,"=""6.9543513""","=""8.2864403""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",4,4,,"=""T1619CA,LS""","=""L5148""",
"=""932.606""","=""""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""932.969""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""937.466""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""943.7657""","=""""","=""950""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""944.445""","=""""","=""950""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""945.542""","=""""","=""600""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""948.444""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""949.472""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""949.616""","=""""","=""1250""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""952.439""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""952.834""","=""952.8354""","=""1700""","=""1.4e+07""","=""1.3e-01""","=""2.4e+01""","=""-0.12""",D,"=""6.9852271""","=""8.2864403""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",6,4,,"=""T1619CA,LS""","=""L5148""",
"=""954.780""","=""954.7802""","=""1500""","=""""","=""""","=""""","=""""",,"=""6.9852271""","=""8.2837898""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",6,4,,"=""""","=""L5148""",
"=""955.943""","=""""","=""280""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""956.6062""","=""956.6067""","=""1700""","=""8.1e+06""","=""1.7e-01""","=""2.1e+01""","=""-0.18""",D,"=""6.9543513""","=""8.2504346""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",4,6,,"=""T1619CA,LS""","=""L5148""",
"=""959.613""","=""959.6136""","=""280""","=""1.1e+07""","=""3.0e-01""","=""1.9e+01""","=""-0.22""",D,"=""6.9356043""","=""8.2276264""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",2,4,,"=""T1619CA,LS""","=""L5148""",
"=""961.168""","=""961.1672""","=""750""","=""4.4e+06""","=""6.1e-02""","=""3.9e+00""","=""-0.91""",E,"=""6.9356043""","=""8.2255380""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""",2,2,,"=""T1619CA,LS""","=""L5148""",
"=""962.844""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""963.106""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""964.1583""","=""""","=""400""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""967.806""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""967.889""","=""""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""970.9195""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""973.7420""","=""973.7425""","=""1500""","=""3.5e+06""","=""5.0e-02""","=""6.4e+00""","=""-0.70""",E,"=""6.9543513""","=""8.2276264""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",4,4,,"=""T1619CA,LS""","=""L5148""",
"=""973.9350""","=""""","=""280""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""975.344""","=""975.3422""","=""1500""","=""2.2e+07""","=""1.6e-01""","=""2.0e+01""","=""-0.20""",D,"=""6.9543513""","=""8.2255380""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""",4,2,,"=""T1619CA,LS""","=""L5148""",
"=""976.345""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""977.953""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""978.179""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""979.289""","=""979.2879""","=""600""","=""4.5e+06""","=""1.3e-01""","=""8.3e+00""","=""-0.59""",D,"=""7.1757806""","=""8.4418455""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""3/2""",2,4,,"=""T1619CA,LS""","=""L5148""",
"=""979.954""","=""979.9515""","=""1700""","=""1.8e+07""","=""2.6e-01""","=""5.0e+01""","=""0.19""",D,"=""6.9852271""","=""8.2504346""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""",6,6,,"=""T1619CA,LS""","=""L5148""",
"=""983.750""","=""""","=""280""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""990.640""","=""990.6387""","=""400""","=""1.8e+07""","=""2.6e-01""","=""1.7e+01""","=""-0.28""",D,"=""7.1757806""","=""8.4273389""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""1/2""",2,2,,"=""T1619CA,LS""","=""L5148""",
"=""997.941""","=""997.9416""","=""280""","=""1.1e+07""","=""1.1e-01""","=""2.2e+01""","=""-0.18""",D,"=""6.9852271""","=""8.2276264""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",6,4,,"=""T1619CA,LS""","=""L5148""",
"=""1008.703""","=""1008.7041""","=""229""","=""2.1e+07""","=""3.2e-01""","=""4.3e+01""","=""0.11""",D,"=""7.2127021""","=""8.4418455""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""3/2""",4,4,,"=""T1619CA,LS""","=""L5148""",
"=""""","=""1020.7513""","=""""","=""8.3e+06""","=""6.5e-02""","=""8.7e+00""","=""-0.59""",D,"=""7.2127021""","=""8.4273389""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2P*""","=""1/2""",4,2,,"=""T1619CA,LS""","=""""",
"=""1043.552""","=""""","=""174""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""1045.874""","=""""","=""132""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
