obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""449.427""","=""0.010""","=""449.4087+""","=""1900""","=""1.43e+06""","=""8.7e-03""","=""2.6e-01""","=""-1.76""",D+,"=""2.6856111""","=""5.4444405""","=""6p3""","=""2P*""","=""1/2""","=""6p2.(3P<0>).6d""","=""2[2]""","=""3/2""",2,4,,"=""T6498""","=""L7585""",
"=""472.3849""","=""0.0004""","=""472.3848+""","=""11000""","=""9.4e+06""","=""1.57e-02""","=""9.7e-01""","=""-1.20""",B,"=""1.4157804""","=""4.0404245""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<0>).7s""","=""2[0]""","=""1/2""",4,2,,"=""T6498""","=""L6416""",
"=""555.3592""","=""0.0006""","=""555.3591+""","=""500""","=""""","=""""","=""""","=""""",,"=""4.0404245""","=""6.2729294""","=""6p2.(3P<0>).7s""","=""2[0]""","=""1/2""","=""6p2.(3P<0>).8p""","=""2[1]*""","=""3/2""",2,4,,"=""""","=""L6416,L3475""",
"=""560.0897""","=""0.0008""","=""560.0896+""","=""40""","=""""","=""""","=""""","=""""",,"=""4.1119118""","=""6.3255610""","=""6p3""","=""2P*""","=""3/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""3/2""",4,4,,"=""""","=""L6416,L7394""",
"=""574.3954""","=""0.0007""","=""574.3953+""","=""140""","=""""","=""""","=""""","=""""",,"=""4.0404245""","=""6.1989414""","=""6p2.(3P<0>).7s""","=""2[0]""","=""1/2""","=""6p2.(3P<0>).8p""","=""2[1]*""","=""1/2""",2,2,,"=""""","=""L6416,L7394""",
"=""613.652""","=""0.012""","=""613.6436+""","=""60""","=""1.74e+06""","=""9.8e-03""","=""7.9e-01""","=""-1.41""",D+,"=""4.1119118""","=""6.1323713""","=""6p3""","=""2P*""","=""3/2""","=""6p2.(3P<2>).7s""","=""2[2]""","=""3/2""",4,4,,"=""T3401,T3485""","=""L7394""",
"=""647.803""","=""0.012""","=""""","=""16""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7394""",
"=""699.2852""","=""0.0010""","=""699.2852+""","=""10""","=""""","=""""","=""""","=""""",,"=""5.0988483""","=""6.8718615""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""1/2""","=""6p2.(3P<0>).9d""","=""2[2]""","=""3/2""",2,4,,"=""""","=""L6416,L7394""",
"=""703.7966""","=""0.0015""","=""703.7955+""","=""4""","=""""","=""""","=""""","=""""",,"=""4.1119118""","=""5.8735626""","=""6p3""","=""2P*""","=""3/2""","=""6p2.(3P<0>).8s""","=""2[0]""","=""1/2""",4,2,,"=""""","=""L6416,L7394""",
"=""750.440""","=""0.017""","=""""","=""3""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7394""",
"=""784.0774""","=""0.0010""","=""784.0773+""","=""19""","=""""","=""""","=""""","=""""",,"=""5.0988483""","=""6.6801236""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""1/2""","=""6p2.(3P<0>).8d""","=""2[2]""","=""3/2""",2,4,,"=""""","=""L6416,L7394""",
"=""784.2473""","=""0.0012""","=""784.2474+""","=""2""","=""""","=""""","=""""","=""""",,"=""4.1119118""","=""5.6928439""","=""6p3""","=""2P*""","=""3/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""1/2""",4,2,,"=""""","=""L6416,L7394""",
"=""854.6809""","=""0.0016""","=""854.6811+""","=""4""","=""""","=""""","=""""","=""""",,"=""4.1119118""","=""5.5625605""","=""6p3""","=""2P*""","=""3/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""",4,4,,"=""""","=""L6416,L7394""",
"=""858.2192""","=""0.0016""","=""858.2191+""","=""3""","=""""","=""""","=""""","=""""",,"=""4.1119118""","=""5.5565801""","=""6p3""","=""2P*""","=""3/2""","=""6p2.(3P<0>).6d""","=""2[2]""","=""5/2""",4,6,,"=""""","=""L6416,L7394""",
"=""875.7310""","=""0.0009""","=""875.7304+""","=""1""","=""2.25e+01""","=""2.59e-07""","=""2.24e+00""","=""-5.98""",B+,"=""0.0000000""","=""1.4157804""","=""6p3""","=""4S*""","=""3/2""","=""6p3""","=""2D*""","=""3/2""",4,4,M1,"=""T4260""","=""L6416,L7394""",
"=""876.3727""","=""0.0008""","=""876.3725+""","=""28""","=""""","=""""","=""""","=""""",,"=""5.5625605""","=""6.9773036""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""","=""6p2.(3P<1>).7p""","=""2[1]*""","=""1/2""",4,2,,"=""""","=""L6416,L7394""",
"=""891.0110""","=""0.0005""","=""891.0108+""","=""46""","=""""","=""""","=""""","=""""",,"=""5.5625605""","=""6.9540609""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""","=""6p2.(3P<1>).7p""","=""2[1]*""","=""3/2""",4,4,,"=""""","=""L6416,L7394""",
"=""965.9694""","=""0.0005""","=""965.9691+""","=""200""","=""""","=""""","=""""","=""""",,"=""4.0404245""","=""5.3239458""","=""6p2.(3P<0>).7s""","=""2[0]""","=""1/2""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""3/2""",2,4,,"=""""","=""L6416,L7407""",
"=""983.0527""","=""0.0006""","=""983.0521+""","=""30""","=""""","=""""","=""""","=""""",,"=""5.6928439""","=""6.9540609""","=""6p2.(3P<1>).7s""","=""2[1]""","=""1/2""","=""6p2.(3P<1>).7p""","=""2[1]*""","=""3/2""",2,4,,"=""""","=""L6416,L7407""",
"=""1010.7030""","=""0.0006""","=""1010.7028+""","=""10""","=""""","=""""","=""""","=""""",,"=""5.0988483""","=""6.3255610""","=""6p2.(3P<0>).7p""","=""2[1]*""","=""1/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""3/2""",2,4,,"=""""","=""L6416,L7407""",
"=""1030.3465""","=""0.0006""","=""1030.3464+""","=""11""","=""""","=""""","=""""","=""""",,"=""5.5625605""","=""6.7658859""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""","=""6p2.(3P<1>).7p""","=""2[2]*""","=""3/2""",4,4,,"=""""","=""L6416,L7407""",
"=""1053.908""","=""0.020""","=""""","=""7""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7407""",
