Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""6d6.7s2""","=""""","=""4""",9,"=""""","=""0""","=""""","=""0""","=""L13544"""
"=""Hs II (6d5.7s2 <5/2>)""","=""Limit""","=""---""",,"=""[""","=""61000""","=""]""","=""4000""","=""L13544"""
