obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""216.293""","=""216.2929""","=""0.0019""","=""8""","=""""","=""""","=""""","=""""",,"=""0.00000""","=""5.73224""","=""6p5""","=""2P*""","=""3/2""","=""6p4.(3P).7s""","=""4P""","=""3/2""",4,4,,"=""""","=""L3511""",
"=""224.471""","=""224.4704""","=""0.0020""","=""10""","=""""","=""""","=""""","=""""",,"=""0.00000""","=""5.52341""","=""6p5""","=""2P*""","=""3/2""","=""6p4.(3P).7s""","=""4P""","=""5/2""",4,6,,"=""""","=""L3511""",
