obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""562.203""","=""0.005""","=""562.202""","=""0.004""","=""3""","=""""","=""""","=""""","=""""",,"=""2.069115""","=""4.274447""","=""7s.7p""","=""3P*""","=""2""","=""7s.9s""","=""3S""","=""1""",5,3,,"=""""","=""L3527""",
"=""566.2381""","=""0.0020""","=""566.2383""","=""0.0020""","=""50""","=""4.3e+07""","=""2.7e-01""","=""3.5e+01""","=""0.27""",C+,"=""1.823472""","=""4.013083""","=""7s.6d""","=""3D""","=""3""","=""6d.7p""","=""3F*""","=""4""",7,9,,"=""T8002""","=""L3527""",
"=""569.174""","=""0.005""","=""569.169""","=""0.003""","=""3""","=""""","=""""","=""""","=""""",,"=""1.735027""","=""3.913363""","=""7s.6d""","=""3D""","=""2""","=""7s.8p""","=""3P*""","=""1""",5,3,,"=""""","=""L3527""",
"=""575.705""","=""0.005""","=""575.705""","=""0.005""","=""4""","=""""","=""""","=""""","=""""",,"=""1.7005399""","=""3.854148""","=""7s.6d""","=""3D""","=""1""","=""7s.8p""","=""3P*""","=""0""",3,1,,"=""""","=""L3527,L15862""",
"=""577.988""","=""0.005""","=""577.984""","=""0.003""","=""5""","=""""","=""""","=""""","=""""",,"=""2.117813""","=""4.262928""","=""7s.6d""","=""1D""","=""2""","=""6d.7p""","=""3P*""","=""2""",5,5,,"=""""","=""L3527""",
"=""579.739""","=""0.005""","=""579.7352""","=""0.0023""","=""5""","=""""","=""""","=""""","=""""",,"=""1.73569904""","=""3.874334""","=""7s.7p""","=""3P*""","=""1""","=""7p2?""","=""3P""","=""1""",3,3,,"=""""","=""L3527""",
"=""581.319""","=""0.005""","=""581.3199""","=""0.0021""","=""5""","=""4.0e+06""","=""3.4e-02""","=""1.9e+00""","=""-0.99""",C+,"=""1.7005399""","=""3.833345""","=""7s.6d""","=""3D""","=""1""","=""6d.7p""","=""1D*""","=""2""",3,5,,"=""T8002""","=""L3527""",
"=""582.510""","=""0.005""","=""582.514""","=""0.003""","=""3""","=""""","=""""","=""""","=""""",,"=""1.823472""","=""3.951903""","=""7s.6d""","=""3D""","=""3""","=""7s.8p""","=""3P*""","=""2""",7,5,,"=""""","=""L3527,L15862""",
"=""590.884""","=""0.005""","=""590.8744""","=""0.0021""","=""2""","=""""","=""""","=""""","=""""",,"=""1.735027""","=""3.833345""","=""7s.6d""","=""3D""","=""2""","=""6d.7p""","=""1D*""","=""2""",5,5,,"=""""","=""L3527""",
"=""595.882""","=""0.005""","=""""","=""""","=""2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3527""",
