obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""595.9120""","=""0.0006""","=""595.91140""","=""0.00018""","=""200c""","=""""","=""""","=""""","=""""",,"=""0.2766623""","=""2.3572434""","=""6d.7s2""","=""2D""","=""5/2""","=""6d.7s.(3D).7p""","=""2D*""","=""3/2""",6,4,,"=""""","=""L7344""",
"=""602.7809""","=""0.0013""","=""602.7820""","=""0.0004""","=""110c""","=""""","=""""","=""""","=""""",,"=""1.8524124""","=""3.909279""","=""6d.7s.(3D).7p""","=""4F*""","=""5/2""","=""7s2.7d""","=""2D""","=""3/2""",6,4,,"=""""","=""L7344""",
"=""611.1671""","=""0.0013""","=""""","=""""","=""65c""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7344""",
"=""615.6033""","=""0.0013""","=""615.6035""","=""0.0004""","=""150c""","=""1.14e+07""","=""6.5e-02""","=""1.05e+01""","=""-0.28""",B,"=""2.1925203""","=""4.206547""","=""6d.7s.(3D).7p""","=""4F*""","=""7/2""","=""6d.7s.(3D).8s""","=""4D""","=""7/2""",8,8,,"=""T10463""","=""L7344""",
"=""617.1887""","=""0.0020""","=""617.1904""","=""0.0003""","=""68c""","=""1.6e+06""","=""6.e-03""","=""8.e-01""","=""-1.4""",E,"=""1.2229292""","=""3.2317777""","=""6d2.(3F).7s""","=""4F""","=""5/2""","=""6d.7s.(1D).7p""","=""2P*""","=""3/2""",6,4,,"=""T10463""","=""L7344""",
"=""625.8851""","=""0.0013""","=""625.8848""","=""0.0004""","=""60c""","=""9.99e+06""","=""7.8e-02""","=""9.7e+00""","=""-0.33""",B,"=""2.2256043""","=""4.206547""","=""6d.7s.(3D).7p""","=""2D*""","=""5/2""","=""6d.7s.(3D).8s""","=""4D""","=""7/2""",6,8,,"=""T10463""","=""L7344""",
"=""627.7405""","=""0.0006""","=""627.73981""","=""0.00020""","=""140cs""","=""9.e+05""","=""4.e-03""","=""7.e-01""","=""-1.5""",E,"=""1.3521750""","=""3.3272640""","=""6d2.(3F).7s""","=""4F""","=""7/2""","=""6d.7s.(1D).7p""","=""2D*""","=""5/2""",8,6,,"=""T10463""","=""L7344""",
"=""634.1853""","=""0.0013""","=""634.1857""","=""0.0004""","=""200cs""","=""1.52e+07""","=""6.9e-02""","=""1.15e+01""","=""-0.26""",B,"=""2.1925203""","=""4.147534""","=""6d.7s.(3D).7p""","=""4F*""","=""7/2""","=""6d.7s.(3D).8s""","=""4D""","=""5/2""",8,6,,"=""T10463""","=""L7344""",
"=""636.1618""","=""0.0006""","=""636.16157""","=""0.00020""","=""4800c""","=""7.6e+06""","=""4.63e-02""","=""5.8e+00""","=""-0.56""",C,"=""0.2766623""","=""2.2256043""","=""6d.7s2""","=""2D""","=""5/2""","=""6d.7s.(3D).7p""","=""2D*""","=""5/2""",6,6,,"=""T10105""","=""L7344""",
"=""644.9603""","=""0.0006""","=""644.96019""","=""0.00021""","=""480c""","=""8.e+05""","=""3.5e-03""","=""4.e-01""","=""-1.7""",E,"=""0.2766623""","=""2.1990166""","=""6d.7s2""","=""2D""","=""5/2""","=""6d.7s.(3D).7p""","=""4D*""","=""3/2""",6,4,,"=""T10463""","=""L7344""",
